system,module,object_name,object_description,field_name,field_description,normalized_field_name,data_type,length_or_format,sample_value,domain,source_artifact,source_type,source_scope,parser_name,last_verified_at,candidate_concept_id,promotion_status,notes
SAP,FI-AP,vendor_master_general_data,Benchmark-derived supplier master staging seed,LIFNR,,lifnr,,10,0000100001,procurement,ui_fixtures/showcase_supplier_master/showcase_supplier_source.xml,benchmark_fixture,internal,,2026-05-19,supplier.id,candidate,Seeded from benchmark fixture pending authoritative vendor source linkage
SAP,FI-AP,vendor_master_general_data,Benchmark-derived supplier master staging seed,KTOKK,,ktokk,,10,ZDOM,procurement,ui_fixtures/showcase_supplier_master/showcase_supplier_source.xml,benchmark_fixture,internal,,2026-05-19,supplier_group_id,knowledge_only,Seeded from benchmark fixture pending authoritative vendor source linkage
SAP,FI-AP,vendor_master_general_data,Benchmark-derived supplier master staging seed,NAME1,,name1,,120,Alpine Components GmbH,procurement,ui_fixtures/showcase_supplier_master/showcase_supplier_source.xml,benchmark_fixture,internal,,2026-05-19,supplier.name,candidate,Seeded from benchmark fixture pending authoritative vendor source linkage
SAP,FI-AP,vendor_master_general_data,Benchmark-derived supplier master staging seed,LAND1,,land1,,5,DE,procurement,ui_fixtures/showcase_supplier_master/showcase_supplier_source.xml,benchmark_fixture,internal,,2026-05-19,address.country,candidate,Seeded from benchmark fixture pending authoritative vendor source linkage
SAP,FI-AP,vendor_master_general_data,Benchmark-derived supplier master staging seed,REGIO,,regio,,10,BW,procurement,ui_fixtures/showcase_supplier_master/showcase_supplier_source.xml,benchmark_fixture,internal,,2026-05-19,address.region,knowledge_only,Seeded from benchmark fixture pending authoritative vendor source linkage
SAP,FI-AP,vendor_master_general_data,Benchmark-derived supplier master staging seed,ORT01,,ort01,,80,Stuttgart,procurement,ui_fixtures/showcase_supplier_master/showcase_supplier_source.xml,benchmark_fixture,internal,,2026-05-19,address.city,candidate,Seeded from benchmark fixture pending authoritative vendor source linkage
SAP,FI-AP,vendor_master_general_data,Benchmark-derived supplier master staging seed,PSTLZ,,pstlz,,20,70173,procurement,ui_fixtures/showcase_supplier_master/showcase_supplier_source.xml,benchmark_fixture,internal,,2026-05-19,address.postal_code,candidate,Seeded from benchmark fixture pending authoritative vendor source linkage
SAP,FI-AP,vendor_master_general_data,Benchmark-derived supplier master staging seed,STRAS,,stras,,120,Koenigstrasse 12,procurement,ui_fixtures/showcase_supplier_master/showcase_supplier_source.xml,benchmark_fixture,internal,,2026-05-19,address.line1,candidate,Seeded from benchmark fixture pending authoritative vendor source linkage
SAP,FI-AP,vendor_master_general_data,Benchmark-derived supplier master staging seed,STCD1,,stcd1,,20,DE123456789,procurement,ui_fixtures/showcase_supplier_master/showcase_supplier_source.xml,benchmark_fixture,internal,,2026-05-19,tax.id,candidate,Seeded from benchmark fixture pending authoritative vendor source linkage
SAP,FI-AP,vendor_master_general_data,Benchmark-derived supplier master staging seed,ZTERM,,zterm,,10,0001,procurement,ui_fixtures/showcase_supplier_master/showcase_supplier_source.xml,benchmark_fixture,internal,,2026-05-19,payment_term.id,candidate,Seeded from benchmark fixture pending authoritative vendor source linkage
SAP,FI-AP,vendor_master_general_data,Benchmark-derived supplier master staging seed,AKONT,,akont,,20,300000,finance,ui_fixtures/showcase_supplier_master/showcase_supplier_source.xml,benchmark_fixture,internal,,2026-05-19,reconciliation_account,knowledge_only,Seeded from benchmark fixture pending authoritative vendor source linkage
SAP,FI-AP,vendor_master_general_data,Benchmark-derived supplier master staging seed,SPERR,,sperr,,5,,procurement,ui_fixtures/showcase_supplier_master/showcase_supplier_source.xml,benchmark_fixture,internal,,2026-05-19,posting_block_flag,knowledge_only,Seeded from benchmark fixture pending authoritative vendor source linkage
SAP,FI-AP,vendor_master_general_data,Benchmark-derived supplier master staging seed,LOEVM,,loevm,,5,,procurement,ui_fixtures/showcase_supplier_master/showcase_supplier_source.xml,benchmark_fixture,internal,,2026-05-19,deletion_mark,knowledge_only,Seeded from benchmark fixture pending authoritative vendor source linkage
SAP,FI-AP,vendor_master_general_data,Benchmark-derived supplier master staging seed,TELF1,,telf1,,40,+497111234500,procurement,ui_fixtures/showcase_supplier_master/showcase_supplier_source.xml,benchmark_fixture,internal,,2026-05-19,phone_number,candidate,Seeded from benchmark fixture pending authoritative vendor source linkage
