entry_type,canonical_term,alias,domain,source_system,note
field_alias,material.base_uom_code,MARM.DUMMY_UOM_INCL_EEW_PS,MM,SAP,"context_patch=true; system=SAP; object=MARM; field=DUMMY_UOM_INCL_EEW_PS; object_description=Units of Measure for Material Alternative units of measure and conversions. MM Materials Mgmt; field_description=MD Product UOM; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.60, module=MM, data_element=UOM_INCL_EEW, domain=UOM_INCL_EEW"
field_alias,material.base_uom_code,MARM./STTPEC/UOM_SYNC,MM,SAP,"context_patch=true; system=SAP; object=MARM; field=/STTPEC/UOM_SYNC; object_description=Units of Measure for Material Alternative units of measure and conversions. MM Materials Mgmt; field_description=Synchronization Active for UoM; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.60, module=MM, data_element=/STTPEC/E_UOM_SYNCACT, domain=XFELD"
field_alias,requisition.line_item_number,EBAN.ESTKZ,MM,SAP,"context_patch=true; system=SAP; object=EBAN; field=ESTKZ; object_description=Purchase Requisition PR header & item combined, one row per PR line. MM Materials Mgmt; field_description=Creation indicator (purchase requisition/schedule lines); note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.10, module=MM, data_element=ESTKZ, domain=ESTKZ"
field_alias,requisition.line_item_number,EBAN.FRGKZ,MM,SAP,"context_patch=true; system=SAP; object=EBAN; field=FRGKZ; object_description=Purchase Requisition PR header & item combined, one row per PR line. MM Materials Mgmt; field_description=Release Indicator; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.10, module=MM, data_element=FRGKZ, domain=FRGKZ"
field_alias,requisition.line_item_number,EBAN.FRGZU,MM,SAP,"context_patch=true; system=SAP; object=EBAN; field=FRGZU; object_description=Purchase Requisition PR header & item combined, one row per PR line. MM Materials Mgmt; field_description=Release State; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.10, module=MM, data_element=FRGZU, domain=FRGZU"
field_alias,requisition.line_item_number,EBAN.FRGST,MM,SAP,"context_patch=true; system=SAP; object=EBAN; field=FRGST; object_description=Purchase Requisition PR header & item combined, one row per PR line. MM Materials Mgmt; field_description=Release strategy in the purchase requisition; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.10, module=MM, data_element=FRGST, domain=FRGST"
field_alias,requisition.line_item_number,EBAN.TXZ01,MM,SAP,"context_patch=true; system=SAP; object=EBAN; field=TXZ01; object_description=Purchase Requisition PR header & item combined, one row per PR line. MM Materials Mgmt; field_description=Short Text; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.10, module=MM, data_element=TXZ01, domain=TEXT40"
field_alias,requisition.line_item_number,EBAN.RESWK,MM,SAP,"context_patch=true; system=SAP; object=EBAN; field=RESWK; object_description=Purchase Requisition PR header & item combined, one row per PR line. MM Materials Mgmt; field_description=Supplying (issuing) plant in case of stock transport order; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.10, module=MM, data_element=RESWK, domain=WERKS"
field_alias,requisition.line_item_number,EBAN.WEBAZ,MM,SAP,"context_patch=true; system=SAP; object=EBAN; field=WEBAZ; object_description=Purchase Requisition PR header & item combined, one row per PR line. MM Materials Mgmt; field_description=Goods receipt processing time in days; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.10, module=MM, data_element=WEBAZ, domain=DEC3"
field_alias,requisition.line_item_number,EBAN.KZVBR,MM,SAP,"context_patch=true; system=SAP; object=EBAN; field=KZVBR; object_description=Purchase Requisition PR header & item combined, one row per PR line. MM Materials Mgmt; field_description=Consumption posting; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.10, module=MM, data_element=KZVBR, domain=KZVBR"
field_alias,requisition.line_item_number,EBAN.KFLAG,MM,SAP,"context_patch=true; system=SAP; object=EBAN; field=KFLAG; object_description=Purchase Requisition PR header & item combined, one row per PR line. MM Materials Mgmt; field_description=Acct.asst.modifiable; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.10, module=MM, data_element=KFLAG, domain=XFELD"
field_alias,requisition.line_item_number,EBAN.VRTKZ,MM,SAP,"context_patch=true; system=SAP; object=EBAN; field=VRTKZ; object_description=Purchase Requisition PR header & item combined, one row per PR line. MM Materials Mgmt; field_description=Distribution Indicator for Multiple Account Assignment; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.10, module=MM, data_element=VRTKZ, domain=VRTKZ"
field_alias,requisition.line_item_number,EBAN.TWRKZ,MM,SAP,"context_patch=true; system=SAP; object=EBAN; field=TWRKZ; object_description=Purchase Requisition PR header & item combined, one row per PR line. MM Materials Mgmt; field_description=Partial invoice indicator; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.10, module=MM, data_element=TWRKZ, domain=TWRKZ"
field_alias,requisition.line_item_number,EBAN.WEPOS,MM,SAP,"context_patch=true; system=SAP; object=EBAN; field=WEPOS; object_description=Purchase Requisition PR header & item combined, one row per PR line. MM Materials Mgmt; field_description=Goods Receipt Indicator; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.10, module=MM, data_element=WEPOS, domain=XFELD"
field_alias,requisition.line_item_number,EBAN.WEUNB,MM,SAP,"context_patch=true; system=SAP; object=EBAN; field=WEUNB; object_description=Purchase Requisition PR header & item combined, one row per PR line. MM Materials Mgmt; field_description=Goods Receipt, Non-Valuated; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.10, module=MM, data_element=WEUNB, domain=XFELD"
field_alias,requisition.line_item_number,EBAN.REPOS,MM,SAP,"context_patch=true; system=SAP; object=EBAN; field=REPOS; object_description=Purchase Requisition PR header & item combined, one row per PR line. MM Materials Mgmt; field_description=Invoice Receipt Indicator; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.10, module=MM, data_element=REPOS, domain=XFELD"
field_alias,requisition.line_item_number,EBAN.FLIEF,MM,SAP,"context_patch=true; system=SAP; object=EBAN; field=FLIEF; object_description=Purchase Requisition PR header & item combined, one row per PR line. MM Materials Mgmt; field_description=Fixed Vendor; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.10, module=MM, data_element=FLIEF, domain=LIFNR"
