qb_module,qb_table,qb_field,qb_description,qb_field_type,qb_data_type,qb_max_length,direct_field_canonical_concept_id,description_canonical_concept_id,top_canonical_concept_id,top_canonical_strength,top_canonical_matches,top_knowledge_concept_id,top_knowledge_strength,top_knowledge_matches,classification_bucket,review_recommendation
AR,Customer,ListID,Unique internal QB GUID for customer,GUID,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,TimeCreated,Timestamp when record was created,DATETIME,DATETIME,n/a,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,TimeModified,Last modification timestamp,DATETIME,DATETIME,n/a,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,EditSequence,Optimistic lock version token,VARCHAR,VARCHAR,16,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,Name,Customer name as it appears in lists,VARCHAR,VARCHAR,41,,,attachment.file_name,0.80,attachment.file_name:0.80 | campaign.name:0.80 | case.subject:0.80,campaign name,1.00,campaign name:1.00 | display name:1.00 | file name:1.00,strong_canonical_candidate,Strong current canonical candidate; review for promotion or alias hardening if needed.
AR,Customer,ClassRef_ListID,FK → Class.ListID,FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,ClassRef_FullName,Class full name (denormalized),VARCHAR,VARCHAR,159,,,contact.name,0.60,contact.name:0.60 | supplier.name:0.50,full name,0.55,full name:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
AR,Customer,ParentRef_ListID,FK → Customer.ListID (parent),FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,ParentRef_FullName,Parent customer full name,VARCHAR,VARCHAR,209,,,contact.name,0.60,contact.name:0.60 | customer.name:0.60 | account.name:0.50,customer name,0.55,customer name:0.55 | full name:0.55 | username:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
AR,Customer,Sublevel,Hierarchy depth (0 = top level),INT,INT,n/a,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,CompanyName,Company / business name,VARCHAR,VARCHAR,41,,,account.name,0.80,account.name:0.80 | company.id:0.80 | company.name:0.60,company name,1.00,company name:1.00,strong_canonical_candidate,Strong current canonical candidate; review for promotion or alias hardening if needed.
AR,Customer,FirstName,Contact first name,VARCHAR,VARCHAR,25,,,contact.name,0.60,contact.name:0.60 | contact.phone:0.60 | employee.phone:0.60,first name,1.00,first name:1.00 | mobile phone:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
AR,Customer,MiddleName,Contact middle name or initial,VARCHAR,VARCHAR,5,,,contact.name,0.60,contact.name:0.60 | contact.phone:0.60 | employee.phone:0.60,middle name,1.00,middle name:1.00 | mobile phone:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
AR,Customer,LastName,Contact last name,VARCHAR,VARCHAR,25,,,contact.name,0.60,contact.name:0.60 | contact.phone:0.60 | employee.phone:0.60,last name,1.00,last name:1.00 | mobile phone:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
AR,Customer,Suffix,"Name suffix (Jr., Sr., etc.)",VARCHAR,VARCHAR,10,,,,,,suffix,1.00,suffix:1.00,knowledge_only,"Knowledge support exists, but no current canonical concept is reachable."
AR,Customer,BillAddress_Addr1,Billing address line 1,VARCHAR,VARCHAR,41,,,address.line1,0.60,address.line1:0.60 | supplier.address:0.50 | supplier.street:0.50,address line 1,0.55,address line 1:0.55 | billing address:0.55 | street address:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
AR,Customer,BillAddress_Addr2,Billing address line 2,VARCHAR,VARCHAR,41,,,address.line2,0.60,address.line2:0.60 | address.line1:0.50,address line 2,0.55,address line 2:0.55 | billing address:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
AR,Customer,BillAddress_Addr3,Billing address line 3,VARCHAR,VARCHAR,41,,,address.line1,0.50,address.line1:0.50,address line 3,0.55,address line 3:0.55 | billing address:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
AR,Customer,BillAddress_Addr4,Billing address line 4,VARCHAR,VARCHAR,41,,,address.line1,0.50,address.line1:0.50,billing address,0.55,billing address:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
AR,Customer,BillAddress_Addr5,Billing address line 5,VARCHAR,VARCHAR,41,,,address.line1,0.50,address.line1:0.50,billing address,0.55,billing address:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
AR,Customer,BillAddress_City,Billing city,VARCHAR,VARCHAR,31,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,BillAddress_State,Billing state / province,VARCHAR,VARCHAR,21,,,supplier.address,0.50,supplier.address:0.50 | supplier.region_code:0.50,state province,0.55,state province:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
AR,Customer,BillAddress_PostalCode,Billing postal / zip code,VARCHAR,VARCHAR,13,,,address.postal_code,0.60,address.postal_code:0.60 | supplier.address:0.60 | supplier.postal_code:0.60,postal code,0.55,postal code:0.55 | vendor postal code:0.55 | zip postal code:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
AR,Customer,BillAddress_Country,Billing country,VARCHAR,VARCHAR,31,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,BillAddress_Note,Billing address note,VARCHAR,VARCHAR,41,,,address.line1,0.50,address.line1:0.50,billing address,0.55,billing address:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
AR,Customer,ShipAddress_Addr1,Shipping address line 1,VARCHAR,VARCHAR,41,,,address.line1,0.60,address.line1:0.60 | address.line2:0.50 | supplier.address:0.50,address line 1,0.55,address line 1:0.55 | shipping address:0.55 | street address:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
AR,Customer,ShipAddress_Addr2,Shipping address line 2,VARCHAR,VARCHAR,41,,,address.line2,0.60,address.line2:0.60,address line 2,0.55,address line 2:0.55 | shipping address:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
AR,Customer,ShipAddress_Addr3,Shipping address line 3,VARCHAR,VARCHAR,41,,,address.line2,0.50,address.line2:0.50,address line 3,0.55,address line 3:0.55 | shipping address:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
AR,Customer,ShipAddress_Addr4,Shipping address line 4,VARCHAR,VARCHAR,41,,,address.line2,0.50,address.line2:0.50,shipping address,0.55,shipping address:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
AR,Customer,ShipAddress_Addr5,Shipping address line 5,VARCHAR,VARCHAR,41,,,address.line2,0.50,address.line2:0.50,shipping address,0.55,shipping address:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
AR,Customer,ShipAddress_City,Shipping city,VARCHAR,VARCHAR,31,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,ShipAddress_State,Shipping state / province,VARCHAR,VARCHAR,21,,,supplier.address,0.50,supplier.address:0.50 | supplier.region_code:0.50,state province,0.55,state province:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
AR,Customer,ShipAddress_PostalCode,Shipping postal code,VARCHAR,VARCHAR,13,,,address.postal_code,0.60,address.postal_code:0.60 | supplier.address:0.60 | supplier.postal_code:0.60,postal code,0.55,postal code:0.55 | vendor postal code:0.55 | zip postal code:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
AR,Customer,ShipAddress_Country,Shipping country,VARCHAR,VARCHAR,31,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,ShipAddress_Note,Shipping address note,VARCHAR,VARCHAR,41,,,address.line2,0.50,address.line2:0.50,shipping address,0.55,shipping address:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
AR,Customer,ShipToAddress_Name,Named ship-to address label,VARCHAR,VARCHAR,41,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,Phone,Primary phone number,VARCHAR,VARCHAR,21,,,customer.phone,1.00,customer.phone:1.00 | contact.id:0.60 | contact.phone:0.60,customer.phone,1.00,customer.phone:1.00 | phone address:1.00 | phone number:1.00,strong_canonical_candidate,Strong current canonical candidate; review for promotion or alias hardening if needed.
AR,Customer,AltPhone,Alternate phone number,VARCHAR,VARCHAR,21,,,contact.id,0.60,contact.id:0.60 | contact.phone:0.60 | employee.phone:0.60,mobile phone,0.55,mobile phone:0.55 | phone number:0.55 | vendor phone:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
AR,Customer,Fax,Fax number,VARCHAR,VARCHAR,21,,,,,,fax number,1.00,fax number:1.00,knowledge_only,"Knowledge support exists, but no current canonical concept is reachable."
AR,Customer,Email,Primary email address,VARCHAR,VARCHAR,1023,,,supplier.commercial_contact_email,0.80,supplier.commercial_contact_email:0.80 | contact.email:0.60,contact.email,1.00,contact.email:1.00 | customer.email:1.00 | email:1.00,strong_canonical_candidate,Strong current canonical candidate; review for promotion or alias hardening if needed.
AR,Customer,Contact,Primary contact name,VARCHAR,VARCHAR,41,,,contact.name,0.60,contact.name:0.60 | contact.phone:0.60 | employee.phone:0.60,mobile phone,0.55,mobile phone:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
AR,Customer,AltContact,Alternate contact name,VARCHAR,VARCHAR,41,,,contact.name,0.60,contact.name:0.60 | contact.phone:0.60 | employee.phone:0.60,mobile phone,0.55,mobile phone:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
AR,Customer,ContactsCount,Number of contacts on record,INT,INT,n/a,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,CustomerTypeRef_ListID,FK → CustomerType.ListID,FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,CustomerTypeRef_FullName,Customer type name,VARCHAR,VARCHAR,159,,,account.type,0.60,account.type:0.60 | customer.name:0.60 | account.name:0.50,customer name,0.55,customer name:0.55 | customer type:0.55 | username:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
AR,Customer,TermsRef_ListID,FK → Terms.ListID,FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,TermsRef_FullName,Terms name,VARCHAR,VARCHAR,31,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,SalesRepRef_ListID,FK → SalesRep.ListID,FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,SalesRepRef_FullName,Sales rep initials/name,VARCHAR,VARCHAR,5,,,,,,sales rep,0.55,sales rep:0.55,knowledge_only,"Knowledge support exists, but no current canonical concept is reachable."
AR,Customer,OpenBalance,Current open AR balance,AMOUNT,"DECIMAL(12,2)",n/a,,,ar_receivable.amount,0.60,ar_receivable.amount:0.60 | ar_receivable.open_amount:0.60 | invoice.amount:0.60,ar open amount,0.55,ar open amount:0.55 | gross amount:0.55 | invoice amount:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
AR,Customer,OpenBalanceDate,Date of open balance (new customers),DATE,DATE,n/a,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,TotalBalance,Balance including all sub-customers,AMOUNT,"DECIMAL(12,2)",n/a,,,invoice.amount,0.60,invoice.amount:0.60,gross amount,0.55,gross amount:0.55 | invoice amount:0.55 | po total:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
AR,Customer,SalesTaxCodeRef_ListID,FK → SalesTaxCode.ListID,FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,SalesTaxCodeRef_FullName,Tax code name (Tax / Non),VARCHAR,VARCHAR,3,,,tax.id,0.50,tax.id:0.50 | tax.rate:0.50,tax code,0.55,tax code:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
AR,Customer,ItemSalesTaxRef_ListID,FK → SalesTax item for this customer,FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,ItemSalesTaxRef_FullName,Sales tax item name,VARCHAR,VARCHAR,31,,,material.name,0.60,material.name:0.60 | product.name:0.60,product name,0.55,product name:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
