sap_module,sap_table,sap_field,sap_description,sap_data_element,sap_domain,sap_table_description,classification_bucket,top_canonical_concept_id,top_canonical_strength,second_canonical_concept_id,second_canonical_strength,strength_margin,confidence_tier,top_canonical_matches,candidate_reason
MM,EBAN,KBLPOS,Earmarked Funds: Document Item,KBLPOS,KBLPOS,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,knowledge_only,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
SD,LIKP,BLDAT,Document Date in Document,BLDAT,DATUM,SD Delivery — Header Delivery doc header. SD Sales Distribution,knowledge_only,sales_order.document_date,0.60,,,0.60,medium,sales_order.document_date:0.60,context_enriched_unmapped_auto_candidate
SD,LIPS,FMENG,Quantity is fixed,FMENG,XFELD,"SD Delivery — Item Delivery items, picked/delivered qty. SD Sales Distribution",knowledge_only,picking.quantity,0.60,,,0.60,medium,picking.quantity:0.60,context_enriched_unmapped_auto_candidate
S/4HANA,ACDOCP,ZUONR,Assignment number,DZUONR,ZUONR,Universal Journal — Plan Line Items Plan equivalent of ACDOCA. S4HANA New Tables,knowledge_only,accounting.document_number,0.80,journal_entry.id,0.60,0.20,medium,accounting.document_number:0.80 | journal_entry.id:0.60 | account.owner_employee_id:0.50,context_enriched_unmapped_auto_candidate
S/4HANA,ACDOCP,OBJNR,Object number,J_OBJNR,J_OBJNR,Universal Journal — Plan Line Items Plan equivalent of ACDOCA. S4HANA New Tables,knowledge_only,accounting.document_number,0.80,journal_entry.id,0.60,0.20,medium,accounting.document_number:0.80 | journal_entry.id:0.60 | account.owner_employee_id:0.50,context_enriched_unmapped_auto_candidate
S/4HANA,ACDOCP,RGRANT_NBR,Grant,GM_GRANT_NBR,GM_GRANT_NBR,Universal Journal — Plan Line Items Plan equivalent of ACDOCA. S4HANA New Tables,weak_canonical_candidate,requisition.line_item_number,0.60,,,0.60,medium,requisition.line_item_number:0.60,context_enriched_unmapped_auto_candidate
S/4HANA,ACDOCA,ZUONR,Assignment number,DZUONR,ZUONR,Universal Journal — Line Items Single source of truth for FI + CO + AA + ML. Replaces BSEG/COEP/FAGLFLEXA/etc. S4HANA New Tables,knowledge_only,accounting.document_number,0.80,journal_entry.id,0.60,0.20,medium,accounting.document_number:0.80 | journal_entry.id:0.60 | account.owner_employee_id:0.50,context_enriched_unmapped_auto_candidate
S/4HANA,ACDOCA,OBJNR,Object number,J_OBJNR,J_OBJNR,Universal Journal — Line Items Single source of truth for FI + CO + AA + ML. Replaces BSEG/COEP/FAGLFLEXA/etc. S4HANA New Tables,knowledge_only,accounting.document_number,0.80,journal_entry.id,0.60,0.20,medium,accounting.document_number:0.80 | journal_entry.id:0.60 | account.owner_employee_id:0.50,context_enriched_unmapped_auto_candidate
S/4HANA,ACDOCA,PAOBJNR,Profitability Segment Number (CO-PA),RKEOBJNR,RKEOBJNR,Universal Journal — Line Items Single source of truth for FI + CO + AA + ML. Replaces BSEG/COEP/FAGLFLEXA/etc. S4HANA New Tables,knowledge_only,accounting.document_number,0.80,journal_entry.id,0.60,0.20,medium,accounting.document_number:0.80 | journal_entry.id:0.60 | account.owner_employee_id:0.50,context_enriched_unmapped_auto_candidate
S/4HANA,ACDOCA,RGRANT_NBR,Grant,GM_GRANT_NBR,GM_GRANT_NBR,Universal Journal — Line Items Single source of truth for FI + CO + AA + ML. Replaces BSEG/COEP/FAGLFLEXA/etc. S4HANA New Tables,weak_canonical_candidate,requisition.line_item_number,0.60,,,0.60,medium,requisition.line_item_number:0.60,context_enriched_unmapped_auto_candidate
S/4HANA,ACDOCA,SGRANT_NBR,Partner Grant,GM_GRANT_PARTNER,GM_GRANT_NBR,Universal Journal — Line Items Single source of truth for FI + CO + AA + ML. Replaces BSEG/COEP/FAGLFLEXA/etc. S4HANA New Tables,weak_canonical_candidate,requisition.line_item_number,0.60,,,0.60,medium,requisition.line_item_number:0.60,context_enriched_unmapped_auto_candidate
S/4HANA,ACDOCA,KBLPOS,Earmarked Funds: Document Item,KBLPOS,KBLPOS,Universal Journal — Line Items Single source of truth for FI + CO + AA + ML. Replaces BSEG/COEP/FAGLFLEXA/etc. S4HANA New Tables,knowledge_only,journal_entry.line_item_number,0.60,,,0.60,medium,journal_entry.line_item_number:0.60,context_enriched_unmapped_auto_candidate
,LFBK,BVTYP,Partner bank type,BVTYP,BVTYP,,unmapped,activity id,0.60,absence.start_date,0.50,0.10,medium,activity id:0.60 | absence.start_date:0.50 | absence.type:0.50,context_enriched_unmapped_auto_candidate
,LFBK,KOBIS,Bank details valid to,KOBIS,DATUM,,weak_canonical_candidate,inventory_lot.manufacture_date,0.60,,,0.60,medium,inventory_lot.manufacture_date:0.60,context_enriched_unmapped_auto_candidate
,EINA,MAHN1,Number of Days for First Reminder/Expediter,MAHN1,MAHNT,,weak_canonical_candidate,address.id,0.60,activity id,0.50,0.10,medium,address.id:0.60 | activity id:0.50,context_enriched_unmapped_auto_candidate
,EINA,MAHN2,Number of Days for Second Reminder/Expediter,MAHN2,MAHNT,,weak_canonical_candidate,address.id,0.60,activity id,0.50,0.10,medium,address.id:0.60 | activity id:0.50,context_enriched_unmapped_auto_candidate
,EINA,MAHN3,Number of Days for Third Reminder/Expediter,MAHN3,MAHNT,,weak_canonical_candidate,address.id,0.60,activity id,0.50,0.10,medium,address.id:0.60 | activity id:0.50,context_enriched_unmapped_auto_candidate
,EINA,VABME,Variable Purchase Order Unit Active,VABME,VABME,,weak_canonical_candidate,order_unit.code,0.60,,,0.60,medium,order_unit.code:0.60,context_enriched_unmapped_auto_candidate
,EINE,NORBM,Standard Purchase Order Quantity,NORBM,MENG13,,weak_canonical_candidate,production_order.quantity,0.60,bom.quantity,0.50,0.10,medium,production_order.quantity:0.60 | bom.quantity:0.50 | goods_receipt.quantity:0.50,context_enriched_unmapped_auto_candidate
,EINE,ANFPS,Item Number of RFQ,ANFPS,EBELP,,weak_canonical_candidate,material.number,0.60,rfq.id,0.50,0.10,medium,material.number:0.60 | rfq.id:0.50,context_enriched_unmapped_auto_candidate
,EINE,AMOBW,Amortized planned value,AMOBW,WERT15,,weak_canonical_candidate,invoice.amount,0.60,,,0.60,medium,invoice.amount:0.60,context_enriched_unmapped_auto_candidate
,EINE,AMOAW,Amortized actual value,AMOAW,WERT15,,weak_canonical_candidate,invoice.amount,0.60,,,0.60,medium,invoice.amount:0.60,context_enriched_unmapped_auto_candidate
,EINE,BSTYP,Purchasing Document Category,BSTYP,BSTYP,,weak_canonical_candidate,document.type,0.60,,,0.60,medium,document.type:0.60,context_enriched_unmapped_auto_candidate
,EINE,DATLB,Date of Last PO or Sched. Agreement Document in Info Record,DATLB,DATUM,,weak_canonical_candidate,purchase_order.document_date,0.60,,,0.60,medium,purchase_order.document_date:0.60,context_enriched_unmapped_auto_candidate
,EINE,PRDAT,Price Valid Until,PRGBI,DATUM,,weak_canonical_candidate,invoice.amount,0.60,,,0.60,medium,invoice.amount:0.60,context_enriched_unmapped_auto_candidate
,EINE,EKKOL,Condition Group with Supplier,EKKOG,CHAR4,,weak_canonical_candidate,vendor_group.id,0.60,,,0.60,medium,vendor_group.id:0.60,context_enriched_unmapped_auto_candidate
,EINE,EBONU,Settlement Group 1 (Purchasing),EBONU,EBONU,,weak_canonical_candidate,purchasing_group.id,0.60,,,0.60,medium,purchasing_group.id:0.60,context_enriched_unmapped_auto_candidate
,EINE,MEPRF,Price Determination (Pricing) Date Control,MEPRF,MEPRF,,weak_canonical_candidate,invoice.amount,0.60,,,0.60,medium,invoice.amount:0.60,context_enriched_unmapped_auto_candidate
,EINE,XERSN,No Evaluated Receipt Settlement (ERS),XERSN,XFELD,,weak_canonical_candidate,goods_receipt.id,0.60,,,0.60,medium,goods_receipt.id:0.60,context_enriched_unmapped_auto_candidate
,EINE,EBON2,"Settlement Group 2 (Rebate Settlement, Purchasing)",EBON2,EBONU,,weak_canonical_candidate,purchasing_group.id,0.60,,,0.60,medium,purchasing_group.id:0.60,context_enriched_unmapped_auto_candidate
,EINE,EBON3,"Settlement Group 3 (Rebate Settlement, Purchasing)",EBON3,EBONU,,weak_canonical_candidate,purchasing_group.id,0.60,,,0.60,medium,purchasing_group.id:0.60,context_enriched_unmapped_auto_candidate
,EINE,MRPIND,Max. Retail Price Relevant,J_1IRMRPIND,J_1IRMRPIND,,weak_canonical_candidate,invoice.amount,0.60,price.unit,0.50,0.10,medium,invoice.amount:0.60 | price.unit:0.50,context_enriched_unmapped_auto_candidate
