qb_module,qb_table,qb_field,qb_description,qb_field_type,qb_data_type,qb_max_length,direct_field_canonical_concept_id,description_canonical_concept_id,top_canonical_concept_id,top_canonical_strength,top_canonical_matches,top_knowledge_concept_id,top_knowledge_strength,top_knowledge_matches,classification_bucket,review_recommendation
AR,Customer,FullName,Hierarchical name (Parent:Child),VARCHAR,VARCHAR,209,contact.name,,contact.name,1.00,contact.name:1.00 | supplier.name:0.80,full name,1.00,full name:1.00,direct_alias_match,Already maps directly to an existing canonical concept via QuickBooks field alias.
AR,Customer,IsActive,Active flag,BOOL,BOOL,n/a,account.status,account.status,account.status,1.00,account.status:1.00,account.status,1.00,account.status:1.00 | active flag:1.00 | is active:1.00,direct_alias_match,Already maps directly to an existing canonical concept via QuickBooks field alias.
AR,Customer,Salutation,"Salutation / title (Mr., Dr., etc.)",VARCHAR,VARCHAR,15,party.salutation,,party.salutation,1.00,party.salutation:1.00 | case.subject:0.80,title salutation,1.00,title salutation:1.00,direct_alias_match,Already maps directly to an existing canonical concept via QuickBooks field alias.
AR,Customer,JobTitle,Contact job title,VARCHAR,VARCHAR,41,employee.position,,employee.position,1.00,employee.position:1.00 | job.title:1.00 | case.subject:0.80,job position,1.00,job position:1.00 | job title:1.00 | job.title:1.00,direct_alias_match,Already maps directly to an existing canonical concept via QuickBooks field alias.
AR,Customer,Cc,CC email address(es),VARCHAR,VARCHAR,1023,cost_center.id,,cost_center.id,1.00,cost_center.id:1.00 | cost_center.code:0.80 | supplier.country_code:0.80,cc email,1.00,cc email:1.00 | cost center:1.00 | country code:1.00,direct_alias_match,Already maps directly to an existing canonical concept via QuickBooks field alias.
AR,Customer,CreditLimit,Approved credit limit,AMOUNT,"DECIMAL(12,2)",n/a,customer.credit_limit,,customer.credit_limit,1.00,customer.credit_limit:1.00 | invoice.amount:0.60,credit limit,1.00,credit limit:1.00 | credit amount:0.55 | gross amount:0.55,direct_alias_match,Already maps directly to an existing canonical concept via QuickBooks field alias.
AR,Invoice,PONumber,Customer purchase order number,VARCHAR,VARCHAR,25,purchase_order.id,,purchase_order.id,1.00,purchase_order.id:1.00 | customer.id:0.60,purchase order number,1.00,purchase order number:1.00 | customer number:0.55,direct_alias_match,Already maps directly to an existing canonical concept via QuickBooks field alias.
AR,Invoice,DueDate,Payment due date,DATE,DATE,n/a,,invoice.due_date,invoice.due_date,0.90,invoice.due_date:0.90 | payment.date:0.60,due date,1.00,due date:1.00 | due date activity:1.00 | fulfillment.due_date:1.00,description_alias_match,Maps to an existing canonical concept through the QuickBooks field description.
AR,Invoice,ShipDate,Scheduled ship date,DATE,DATE,n/a,,shipment.planned_ship_date,shipment.planned_ship_date,1.00,shipment.planned_ship_date:1.00,shipment.planned_ship_date,1.00,shipment.planned_ship_date:1.00 | delivery date:0.55,description_alias_match,Maps to an existing canonical concept through the QuickBooks field description.
AR,Invoice,ExchangeRate,Exchange rate vs home currency,DECIMAL,"DECIMAL(12,6)",n/a,exchange_rate.rate,,exchange_rate.rate,1.00,exchange_rate.rate:1.00,exchange rate,1.00,exchange rate:1.00 | exchange_rate.rate:1.00,direct_alias_match,Already maps directly to an existing canonical concept via QuickBooks field alias.
AR,InvoiceLine,SerialNumber,Serial number (inventory tracking),VARCHAR,VARCHAR,4095,asset.serial_number,,asset.serial_number,1.00,asset.serial_number:1.00 | shipment.tracking_id:0.60,asset.serial_number,1.00,asset.serial_number:1.00 | serial number:1.00 | tracking number:0.55,direct_alias_match,Already maps directly to an existing canonical concept via QuickBooks field alias.
AR,InvoiceLine,LotNumber,Lot number (inventory tracking),VARCHAR,VARCHAR,40,batch.id,,batch.id,1.00,batch.id:1.00 | inventory_lot.id:0.80 | shipment.tracking_id:0.60,batch.id,1.00,batch.id:1.00 | lot number:1.00 | tracking number:0.55,direct_alias_match,Already maps directly to an existing canonical concept via QuickBooks field alias.
AR,SalesReceipt,RefNumber,Receipt number,VARCHAR,VARCHAR,11,,goods_receipt.id,goods_receipt.id,0.90,goods_receipt.id:0.90,goods_receipt.id,1.00,goods_receipt.id:1.00 | purchase_order.id:1.00 | sales_order.id:1.00,description_alias_match,Maps to an existing canonical concept through the QuickBooks field description.
AR,SalesReceipt,ExchangeRate,Exchange rate,DECIMAL,"DECIMAL(12,6)",n/a,exchange_rate.rate,exchange_rate.rate,exchange_rate.rate,1.00,exchange_rate.rate:1.00,exchange rate,1.00,exchange rate:1.00 | exchange_rate.rate:1.00,direct_alias_match,Already maps directly to an existing canonical concept via QuickBooks field alias.
AR,ReceivePayment,TxnDate,Payment date,DATE,DATE,n/a,,payment.date,payment.date,0.90,payment.date:0.90,accounting.posting_date,1.00,accounting.posting_date:1.00 | inventory_transaction.date:1.00 | invoice.posting_date:1.00,description_alias_match,Maps to an existing canonical concept through the QuickBooks field description.
AR,ReceivePayment,ExchangeRate,Exchange rate,DECIMAL,"DECIMAL(12,6)",n/a,exchange_rate.rate,exchange_rate.rate,exchange_rate.rate,1.00,exchange_rate.rate:1.00,exchange rate,1.00,exchange rate:1.00 | exchange_rate.rate:1.00,direct_alias_match,Already maps directly to an existing canonical concept via QuickBooks field alias.
AR,ReceivePayment,PaymentMethodRef_FullName,Payment method,VARCHAR,VARCHAR,31,,payment.method_code,payment.method_code,1.00,payment.method_code:1.00,payment.method_code,1.00,payment.method_code:1.00 | payment method:0.90,description_alias_match,Maps to an existing canonical concept through the QuickBooks field description.
AR,CreditMemo,PONumber,PO number reference,VARCHAR,VARCHAR,25,purchase_order.id,,purchase_order.id,1.00,purchase_order.id:1.00 | journal_entry.reference:0.50 | payment.reference:0.50,purchase order number,1.00,purchase order number:1.00 | id card number:0.55 | reference number:0.55,direct_alias_match,Already maps directly to an existing canonical concept via QuickBooks field alias.
AR,CreditMemo,ExchangeRate,Exchange rate,DECIMAL,"DECIMAL(12,6)",n/a,exchange_rate.rate,exchange_rate.rate,exchange_rate.rate,1.00,exchange_rate.rate:1.00,exchange rate,1.00,exchange rate:1.00 | exchange_rate.rate:1.00,direct_alias_match,Already maps directly to an existing canonical concept via QuickBooks field alias.
AR,Terms,IsActive,Active flag,BOOL,BOOL,n/a,account.status,account.status,account.status,1.00,account.status:1.00,account.status,1.00,account.status:1.00 | active flag:1.00 | is active:1.00,direct_alias_match,Already maps directly to an existing canonical concept via QuickBooks field alias.
AR,Estimate,PONumber,Customer PO number,VARCHAR,VARCHAR,25,purchase_order.id,,purchase_order.id,1.00,purchase_order.id:1.00 | customer.id:0.60,purchase order number,1.00,purchase order number:1.00 | customer number:0.55,direct_alias_match,Already maps directly to an existing canonical concept via QuickBooks field alias.
AR,Estimate,IsActive,Active (open) flag,BOOL,BOOL,n/a,account.status,,account.status,1.00,account.status:1.00,account.status,1.00,account.status:1.00 | active flag:1.00 | is active:1.00,direct_alias_match,Already maps directly to an existing canonical concept via QuickBooks field alias.
AP,Vendor,IsActive,Active flag,BOOL,BOOL,n/a,account.status,account.status,account.status,1.00,account.status:1.00,account.status,1.00,account.status:1.00 | active flag:1.00 | is active:1.00,direct_alias_match,Already maps directly to an existing canonical concept via QuickBooks field alias.
AP,Vendor,Salutation,Salutation,VARCHAR,VARCHAR,15,party.salutation,party.salutation,party.salutation,1.00,party.salutation:1.00 | case.subject:0.80,title salutation,1.00,title salutation:1.00,direct_alias_match,Already maps directly to an existing canonical concept via QuickBooks field alias.
AP,Vendor,JobTitle,Contact job title,VARCHAR,VARCHAR,41,employee.position,,employee.position,1.00,employee.position:1.00 | job.title:1.00 | case.subject:0.80,job position,1.00,job position:1.00 | job title:1.00 | job.title:1.00,direct_alias_match,Already maps directly to an existing canonical concept via QuickBooks field alias.
AP,Vendor,VendorAddress_Addr1,Address line 1,VARCHAR,VARCHAR,41,,address.line1,address.line1,1.00,address.line1:1.00 | supplier.address:0.70 | supplier.street:0.70,address.line1,1.00,address.line1:1.00 | address line 1:0.90 | street address:0.90,description_alias_match,Maps to an existing canonical concept through the QuickBooks field description.
AP,Vendor,VendorAddress_Addr2,Address line 2,VARCHAR,VARCHAR,41,,address.line2,address.line2,1.00,address.line2:1.00,address.line2,1.00,address.line2:1.00 | address line 2:0.90,description_alias_match,Maps to an existing canonical concept through the QuickBooks field description.
AP,Vendor,VendorAddress_City,City,VARCHAR,VARCHAR,31,,supplier.address,supplier.address,0.90,supplier.address:0.90 | supplier.city:0.70,address.city,1.00,address.city:1.00 | supplier.address:1.00 | supplier.city:1.00,description_alias_match,Maps to an existing canonical concept through the QuickBooks field description.
AP,Vendor,VendorAddress_PostalCode,Postal code,VARCHAR,VARCHAR,13,,address.postal_code,address.postal_code,0.90,address.postal_code:0.90 | supplier.address:0.90 | supplier.postal_code:0.60,address.postal_code,1.00,address.postal_code:1.00 | supplier.address:1.00 | supplier.postal_code:1.00,description_alias_match,Maps to an existing canonical concept through the QuickBooks field description.
AP,Vendor,VendorAddress_Country,Country,VARCHAR,VARCHAR,31,,supplier.address,supplier.address,0.90,supplier.address:0.90 | supplier.country_code:0.90 | address.country_code:0.70,address.country,1.00,address.country:1.00 | supplier.address:1.00 | supplier.country_code:1.00,description_alias_match,Maps to an existing canonical concept through the QuickBooks field description.
AP,Vendor,Email,Email address,VARCHAR,VARCHAR,1023,,contact.email,contact.email,0.90,contact.email:0.90 | supplier.commercial_contact_email:0.80,contact.email,1.00,contact.email:1.00 | customer.email:1.00 | email:1.00,description_alias_match,Maps to an existing canonical concept through the QuickBooks field description.
AP,Vendor,Cc,CC email,VARCHAR,VARCHAR,1023,cost_center.id,,cost_center.id,1.00,cost_center.id:1.00 | cost_center.code:0.80 | supplier.country_code:0.80,cc email,1.00,cc email:1.00 | cost center:1.00 | country code:1.00,direct_alias_match,Already maps directly to an existing canonical concept via QuickBooks field alias.
AP,Vendor,CreditLimit,Credit limit with this vendor,AMOUNT,"DECIMAL(12,2)",n/a,customer.credit_limit,,customer.credit_limit,1.00,customer.credit_limit:1.00 | invoice.amount:0.60,credit limit,1.00,credit limit:1.00 | credit amount:0.55 | gross amount:0.55,direct_alias_match,Already maps directly to an existing canonical concept via QuickBooks field alias.
AP,Bill,VendorRef_FullName,Vendor name,VARCHAR,VARCHAR,41,,supplier.name,supplier.name,0.90,supplier.name:0.90 | vendor.name:0.90 | contact.name:0.70,supplier name,0.90,supplier name:0.90 | vendor name:0.90,description_alias_match,Maps to an existing canonical concept through the QuickBooks field description.
AP,Bill,VendorAddress_City,Vendor city,VARCHAR,VARCHAR,31,,supplier.city,supplier.city,0.90,supplier.city:0.90 | supplier.address:0.70,address.city,1.00,address.city:1.00 | supplier.address:1.00 | supplier.city:1.00,description_alias_match,Maps to an existing canonical concept through the QuickBooks field description.
AP,Bill,VendorAddress_PostalCode,Vendor postal code,VARCHAR,VARCHAR,13,,supplier.postal_code,supplier.postal_code,0.90,supplier.postal_code:0.90 | address.postal_code:0.60 | supplier.address:0.60,address.postal_code,1.00,address.postal_code:1.00 | supplier.address:1.00 | supplier.postal_code:1.00,description_alias_match,Maps to an existing canonical concept through the QuickBooks field description.
AP,Bill,DueDate,Payment due date,DATE,DATE,n/a,,invoice.due_date,invoice.due_date,0.90,invoice.due_date:0.90 | payment.date:0.60,due date,1.00,due date:1.00 | due date activity:1.00 | fulfillment.due_date:1.00,description_alias_match,Maps to an existing canonical concept through the QuickBooks field description.
AP,Bill,RefNumber,Vendor invoice number,VARCHAR,VARCHAR,11,,supplier_invoice.id,supplier_invoice.id,0.90,supplier_invoice.id:0.90 | invoice.number:0.60 | vendor.id:0.60,goods_receipt.id,1.00,goods_receipt.id:1.00 | purchase_order.id:1.00 | sales_order.id:1.00,description_alias_match,Maps to an existing canonical concept through the QuickBooks field description.
AP,Bill,ExchangeRate,Exchange rate,DECIMAL,"DECIMAL(12,6)",n/a,exchange_rate.rate,exchange_rate.rate,exchange_rate.rate,1.00,exchange_rate.rate:1.00,exchange rate,1.00,exchange rate:1.00 | exchange_rate.rate:1.00,direct_alias_match,Already maps directly to an existing canonical concept via QuickBooks field alias.
AP,BillItemLine,ItemRef_FullName,Item name,VARCHAR,VARCHAR,159,,material.name,material.name,0.90,material.name:0.90 | product.name:0.90,product name,0.90,product name:0.90,description_alias_match,Maps to an existing canonical concept through the QuickBooks field description.
AP,BillItemLine,UnitOfMeasure,Unit of measure,VARCHAR,VARCHAR,31,,material.base_uom_code,material.base_uom_code,0.90,material.base_uom_code:0.90 | uom.code:0.90,material.base_uom_code,1.00,material.base_uom_code:1.00 | unit of measure:1.00 | uom.code:1.00,description_alias_match,Maps to an existing canonical concept through the QuickBooks field description.
AP,BillItemLine,SerialNumber,Serial number,VARCHAR,VARCHAR,4095,asset.serial_number,asset.serial_number,asset.serial_number,1.00,asset.serial_number:1.00,asset.serial_number,1.00,asset.serial_number:1.00 | serial number:1.00,direct_alias_match,Already maps directly to an existing canonical concept via QuickBooks field alias.
AP,BillItemLine,LotNumber,Lot number,VARCHAR,VARCHAR,40,batch.id,batch.id,batch.id,1.00,batch.id:1.00 | inventory_lot.id:0.80,batch.id,1.00,batch.id:1.00 | lot number:1.00,direct_alias_match,Already maps directly to an existing canonical concept via QuickBooks field alias.
AP,BillPayment,PayeeEntityRef_FullName,Vendor name,VARCHAR,VARCHAR,41,,supplier.name,supplier.name,0.90,supplier.name:0.90 | vendor.name:0.90 | contact.name:0.70,supplier name,0.90,supplier name:0.90 | vendor name:0.90,description_alias_match,Maps to an existing canonical concept through the QuickBooks field description.
AP,BillPayment,TxnDate,Payment date,DATE,DATE,n/a,,payment.date,payment.date,0.90,payment.date:0.90,accounting.posting_date,1.00,accounting.posting_date:1.00 | inventory_transaction.date:1.00 | invoice.posting_date:1.00,description_alias_match,Maps to an existing canonical concept through the QuickBooks field description.
AP,BillPayment,ExchangeRate,Exchange rate,DECIMAL,"DECIMAL(12,6)",n/a,exchange_rate.rate,exchange_rate.rate,exchange_rate.rate,1.00,exchange_rate.rate:1.00,exchange rate,1.00,exchange rate:1.00 | exchange_rate.rate:1.00,direct_alias_match,Already maps directly to an existing canonical concept via QuickBooks field alias.
AP,PurchaseOrder,VendorRef_FullName,Vendor name,VARCHAR,VARCHAR,41,,supplier.name,supplier.name,0.90,supplier.name:0.90 | vendor.name:0.90 | contact.name:0.70,supplier name,0.90,supplier name:0.90 | vendor name:0.90,description_alias_match,Maps to an existing canonical concept through the QuickBooks field description.
AP,PurchaseOrder,VendorAddress_City,Vendor city,VARCHAR,VARCHAR,31,,supplier.city,supplier.city,0.90,supplier.city:0.90 | supplier.address:0.70,address.city,1.00,address.city:1.00 | supplier.address:1.00 | supplier.city:1.00,description_alias_match,Maps to an existing canonical concept through the QuickBooks field description.
AP,PurchaseOrder,RefNumber,PO number,VARCHAR,VARCHAR,11,,purchase_order.id,purchase_order.id,0.90,purchase_order.id:0.90,goods_receipt.id,1.00,goods_receipt.id:1.00 | purchase_order.id:1.00 | sales_order.id:1.00,description_alias_match,Maps to an existing canonical concept through the QuickBooks field description.
AP,PurchaseOrder,ExchangeRate,Exchange rate,DECIMAL,"DECIMAL(12,6)",n/a,exchange_rate.rate,exchange_rate.rate,exchange_rate.rate,1.00,exchange_rate.rate:1.00,exchange rate,1.00,exchange rate:1.00 | exchange_rate.rate:1.00,direct_alias_match,Already maps directly to an existing canonical concept via QuickBooks field alias.
AP,PurchaseOrderLine,ItemRef_FullName,Item name,VARCHAR,VARCHAR,159,,material.name,material.name,0.90,material.name:0.90 | product.name:0.90,product name,0.90,product name:0.90,description_alias_match,Maps to an existing canonical concept through the QuickBooks field description.
AP,PurchaseOrderLine,UnitOfMeasure,Unit of measure,VARCHAR,VARCHAR,31,,material.base_uom_code,material.base_uom_code,0.90,material.base_uom_code:0.90 | uom.code:0.90,material.base_uom_code,1.00,material.base_uom_code:1.00 | unit of measure:1.00 | uom.code:1.00,description_alias_match,Maps to an existing canonical concept through the QuickBooks field description.
GL,Account,FullName,Full hierarchical name,VARCHAR,VARCHAR,159,contact.name,,contact.name,1.00,contact.name:1.00 | supplier.name:0.80,full name,1.00,full name:1.00,direct_alias_match,Already maps directly to an existing canonical concept via QuickBooks field alias.
GL,Account,IsActive,Active flag,BOOL,BOOL,n/a,account.status,account.status,account.status,1.00,account.status:1.00,account.status,1.00,account.status:1.00 | active flag:1.00 | is active:1.00,direct_alias_match,Already maps directly to an existing canonical concept via QuickBooks field alias.
GL,Account,RoutingNumber,Bank routing / transit number,VARCHAR,VARCHAR,9,bank_account.routing_number,,bank_account.routing_number,1.00,bank_account.routing_number:1.00,routing number,1.00,routing number:1.00 | bank code:0.55,direct_alias_match,Already maps directly to an existing canonical concept via QuickBooks field alias.
GL,JournalEntry,TxnDate,Posting date,DATE,DATE,n/a,,accounting.posting_date,accounting.posting_date,0.90,accounting.posting_date:0.90 | inventory_transaction.date:0.90 | goods_receipt.date:0.70,accounting.posting_date,1.00,accounting.posting_date:1.00 | inventory_transaction.date:1.00 | invoice.posting_date:1.00,description_alias_match,Maps to an existing canonical concept through the QuickBooks field description.
GL,JournalEntry,ExchangeRate,Exchange rate,DECIMAL,"DECIMAL(12,6)",n/a,exchange_rate.rate,exchange_rate.rate,exchange_rate.rate,1.00,exchange_rate.rate:1.00,exchange rate,1.00,exchange rate:1.00 | exchange_rate.rate:1.00,direct_alias_match,Already maps directly to an existing canonical concept via QuickBooks field alias.
GL,JournalEntryLine,AccountRef_FullName,Account name,VARCHAR,VARCHAR,159,,account.name,account.name,0.90,account.name:0.90 | company.id:0.70 | company.name:0.70,company name,0.90,company name:0.90 | gl account description:0.90 | username:0.90,description_alias_match,Maps to an existing canonical concept through the QuickBooks field description.
GL,JournalEntryLine,ItemRef_FullName,Item name,VARCHAR,VARCHAR,159,,material.name,material.name,0.90,material.name:0.90 | product.name:0.90,product name,0.90,product name:0.90,description_alias_match,Maps to an existing canonical concept through the QuickBooks field description.
GL,JournalEntryLine,UnitOfMeasure,Unit of measure,VARCHAR,VARCHAR,31,,material.base_uom_code,material.base_uom_code,0.90,material.base_uom_code:0.90 | uom.code:0.90,material.base_uom_code,1.00,material.base_uom_code:1.00 | unit of measure:1.00 | uom.code:1.00,description_alias_match,Maps to an existing canonical concept through the QuickBooks field description.
GL,Class,FullName,Full hierarchical name,VARCHAR,VARCHAR,159,contact.name,,contact.name,1.00,contact.name:1.00 | supplier.name:0.80,full name,1.00,full name:1.00,direct_alias_match,Already maps directly to an existing canonical concept via QuickBooks field alias.
GL,Class,IsActive,Active flag,BOOL,BOOL,n/a,account.status,account.status,account.status,1.00,account.status:1.00,account.status,1.00,account.status:1.00 | active flag:1.00 | is active:1.00,direct_alias_match,Already maps directly to an existing canonical concept via QuickBooks field alias.
