entry_type,canonical_term,alias,domain,source_system,note
field_alias,document.created_date,MM_MARA_CREATED_AT_TIME,TIME,SAP,Promote weak candidate (strength=0.60) to strong
field_alias,product.lifecycle_status,MM_MARA_VPSTA,PSTAT,SAP,Promote weak candidate (strength=0.60) to strong
field_alias,material.base_uom_code,MM_MARA_BSTME,MEINS,SAP,Promote weak candidate (strength=0.60) to strong
field_alias,document.type,MM_MARA_ZEIAR,ZEIAR,SAP,Promote weak candidate (strength=0.60) to strong
field_alias,account.owner_employee_id,MM_MARA_AESZN,AENUM,SAP,Promote weak candidate (strength=0.60) to strong
field_alias,account.owner_employee_id,MM_MARA_BLATT,BLATT,SAP,Promote weak candidate (strength=0.60) to strong
field_alias,account.owner_employee_id,MM_MARA_BLANZ,NUM3,SAP,Promote weak candidate (strength=0.60) to strong
field_alias,activity id,MM_MARA_EKWSL,EKWSL,SAP,Promote weak candidate (strength=0.60) to strong
field_alias,material.number,MM_MARA_STOFF,STOFF,SAP,Promote weak candidate (strength=0.60) to strong
field_alias,material.number,MM_MARA_EANNR,CHAR13,SAP,Promote weak candidate (strength=0.60) to strong
field_alias,goods_receipt.quantity,MM_MARA_WESCH,MENG13,SAP,Promote weak candidate (strength=0.60) to strong
field_alias,material.number,MM_MARA_EAN11,EAN11,SAP,Promote weak candidate (strength=0.60) to strong
field_alias,material.number,MM_MARA_NUMTP,NUMTP,SAP,Promote weak candidate (strength=0.60) to strong
field_alias,account.status,MM_MARA_QMPUR,XFELD,SAP,Promote weak candidate (strength=0.60) to strong
field_alias,handling_unit.id,MM_MARA_ERGEI,MEINS,SAP,Promote weak candidate (strength=0.60) to strong
field_alias,handling_unit.id,MM_MARA_ERVOE,MEINS,SAP,Promote weak candidate (strength=0.60) to strong
field_alias,material.drawing_revision,MM_MARA_KZREV,XFELD,SAP,Promote weak candidate (strength=0.60) to strong
field_alias,material.type_code,MM_MARA_VHART,TRATY,SAP,Promote weak candidate (strength=0.60) to strong
field_alias,material.raw_material_group_id,MM_MARA_MAGRV,MAGRV,SAP,Promote weak candidate (strength=0.60) to strong
field_alias,invoice.amount,MM_MARA_PLGTP,PLGTP,SAP,Promote weak candidate (strength=0.60) to strong
field_alias,material.raw_material_group_id,MM_MARA_EXTWG,EXTWG,SAP,Promote weak candidate (strength=0.60) to strong
field_alias,activity id,MM_MARA_PMATA,MATNR,SAP,Promote weak candidate (strength=0.60) to strong
field_alias,product.lifecycle_status,MM_MARA_MSTAE,MMSTA,SAP,Promote weak candidate (strength=0.60) to strong
field_alias,product.lifecycle_status,MM_MARA_MSTAV,VMSTA,SAP,Promote weak candidate (strength=0.60) to strong
field_alias,account.status,MM_MARA_MSTDE,DATUM,SAP,Promote weak candidate (strength=0.60) to strong
field_alias,account.status,MM_MARA_MSTDV,DATUM,SAP,Promote weak candidate (strength=0.60) to strong
field_alias,invoice.amount,MM_MARA_MHDHB,DEC4,SAP,Promote weak candidate (strength=0.60) to strong
