entry_type,canonical_term,alias,domain,source_system,note
field_alias,account.owner_employee_id,PRCD_ELEMENTS.KNUMV,S/4HANA,SAP,"context_patch=true; system=SAP; object=PRCD_ELEMENTS; field=KNUMV; field_description=Number of the Document Condition; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.10, module=S/4HANA, data_element=KNUMV, domain=KNUMV"
field_alias,invoice.amount,PRCD_ELEMENTS.KAWRT,S/4HANA,SAP,"context_patch=true; system=SAP; object=PRCD_ELEMENTS; field=KAWRT; field_description=Condition Basis; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.60, module=S/4HANA, data_element=VFPRC_ELEMENT_BASE_VALUE, domain=VFPRC_DEC_VALUE"
field_alias,invoice.amount,PRCD_ELEMENTS.KAWRT_K,S/4HANA,SAP,"context_patch=true; system=SAP; object=PRCD_ELEMENTS; field=KAWRT_K; field_description=Condition Basis; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.60, module=S/4HANA, data_element=VFPRC_ELEMENT_BASE_VALUE, domain=VFPRC_DEC_VALUE"
field_alias,activity id,BUT000.BPKIND,S/4HANA,SAP,"context_patch=true; system=SAP; object=BUT000; field=BPKIND; object_description=Business Partner — General Data BP is the leading object in S/4HANA — KNA1/LFA1 are kept in sync via CVI. S4HANA New Tables; field_description=Business Partner Type; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.10, module=S/4HANA, data_element=BU_BPKIND, domain=BU_KIND"
field_alias,business_partner.id,BUT000.BPEXT,S/4HANA,SAP,"context_patch=true; system=SAP; object=BUT000; field=BPEXT; object_description=Business Partner — General Data BP is the leading object in S/4HANA — KNA1/LFA1 are kept in sync via CVI. S4HANA New Tables; field_description=Business Partner Number in External System; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.60, module=S/4HANA, data_element=BU_BPEXT, domain=CHAR20"
field_alias,business_partner.id,BUT000.LOCATION_3,S/4HANA,SAP,"context_patch=true; system=SAP; object=BUT000; field=LOCATION_3; object_description=Business Partner — General Data BP is the leading object in S/4HANA — KNA1/LFA1 are kept in sync via CVI. S4HANA New Tables; field_description=Check digit for the international location number; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.60, module=S/4HANA, data_element=BUBKZ, domain=NUM01"
field_alias,account.owner_employee_id,BUT000.INITIALS,S/4HANA,SAP,"context_patch=true; system=SAP; object=BUT000; field=INITIALS; object_description=Business Partner — General Data BP is the leading object in S/4HANA — KNA1/LFA1 are kept in sync via CVI. S4HANA New Tables; field_description=""Middle Initial"" or personal initials; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.10, module=S/4HANA, data_element=AD_INITS, domain=CHAR10"
field_alias,customer.language_code,BUT000.LANGU_CORR,S/4HANA,SAP,"context_patch=true; system=SAP; object=BUT000; field=LANGU_CORR; object_description=Business Partner — General Data BP is the leading object in S/4HANA — KNA1/LFA1 are kept in sync via CVI. S4HANA New Tables; field_description=Business Partner: Correspondence Language; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.60, module=S/4HANA, data_element=BU_LANGU_CORR, domain=SPRAS"
field_alias,employee.marital_status,BUT000.MARST,S/4HANA,SAP,"context_patch=true; system=SAP; object=BUT000; field=MARST; object_description=Business Partner — General Data BP is the leading object in S/4HANA — KNA1/LFA1 are kept in sync via CVI. S4HANA New Tables; field_description=Marital Status of Business Partner; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.60, module=S/4HANA, data_element=BU_MARST, domain=BU_MARST"
field_alias,employee.birth_date,BUT000.BIRTHDT,S/4HANA,SAP,"context_patch=true; system=SAP; object=BUT000; field=BIRTHDT; object_description=Business Partner — General Data BP is the leading object in S/4HANA — KNA1/LFA1 are kept in sync via CVI. S4HANA New Tables; field_description=Date of Birth of Business Partner; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.60, module=S/4HANA, data_element=BU_BIRTHDT, domain=DATUM"
field_alias,employee.birth_date,BUT000.BIRTHDT_STATUS,S/4HANA,SAP,"context_patch=true; system=SAP; object=BUT000; field=BIRTHDT_STATUS; object_description=Business Partner — General Data BP is the leading object in S/4HANA — KNA1/LFA1 are kept in sync via CVI. S4HANA New Tables; field_description=Date of Birth: Status; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.60, module=S/4HANA, data_element=BU_BIRTHDT_STATUS, domain=BU_BIRTHDT_STATUS"
field_alias,activity id,BUT000.PARTGRPTYP,S/4HANA,SAP,"context_patch=true; system=SAP; object=BUT000; field=PARTGRPTYP; object_description=Business Partner — General Data BP is the leading object in S/4HANA — KNA1/LFA1 are kept in sync via CVI. S4HANA New Tables; field_description=Group type; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.10, module=S/4HANA, data_element=BU_GRPTYP, domain=BU_GRPTYP"
field_alias,document.created_date,BUT000.CRDAT,S/4HANA,SAP,"context_patch=true; system=SAP; object=BUT000; field=CRDAT; object_description=Business Partner — General Data BP is the leading object in S/4HANA — KNA1/LFA1 are kept in sync via CVI. S4HANA New Tables; field_description=Date on which the object was created; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.60, module=S/4HANA, data_element=BU_CRDAT, domain=DATUM"
