system,module,object_name,object_description,field_name,field_description,normalized_field_name,data_type,length_or_format,sample_value,domain,source_artifact,source_type,source_scope,parser_name,last_verified_at,candidate_concept_id,promotion_status,notes
SAP,MM,material_master_basic_data,Benchmark-derived SAP material master staging seed,MATNR,SAP ERP material number assigned in material master,matnr,VARCHAR,40,MAT-100001,supply_chain,ui_fixtures/showcase_material_master/showcase_material_source.xml,benchmark_fixture,internal,,2026-05-19,material.id,candidate,Seeded from benchmark fixture pending authoritative SAP source linkage
SAP,MM,material_master_basic_data,Benchmark-derived SAP material master staging seed,BISMT,Old or legacy material number used before ERP harmonization,bismt,VARCHAR,40,LEG-PUMP-A100,supply_chain,ui_fixtures/showcase_material_master/showcase_material_source.xml,benchmark_fixture,internal,,2026-05-19,material.legacy_id,candidate,Seeded from benchmark fixture pending authoritative SAP source linkage
SAP,MM,material_master_basic_data,Benchmark-derived SAP material master staging seed,MTART,SAP material type such as FERT HALB or ROH,mtart,VARCHAR,10,FERT,supply_chain,ui_fixtures/showcase_material_master/showcase_material_source.xml,benchmark_fixture,internal,,2026-05-19,material_type.code,candidate,Seeded from benchmark fixture pending authoritative SAP source linkage
SAP,MM,material_master_basic_data,Benchmark-derived SAP material master staging seed,MATKL,SAP material group used for procurement and reporting,matkl,VARCHAR,20,FG01,supply_chain,ui_fixtures/showcase_material_master/showcase_material_source.xml,benchmark_fixture,internal,,2026-05-19,material_group.id,candidate,Seeded from benchmark fixture pending authoritative SAP source linkage
SAP,MM,material_master_basic_data,Benchmark-derived SAP material master staging seed,MAKTX,Material description short text,maktx,VARCHAR,120,Industrial Pump A100,supply_chain,ui_fixtures/showcase_material_master/showcase_material_source.xml,benchmark_fixture,internal,,2026-05-19,material.description,candidate,Seeded from benchmark fixture pending authoritative SAP source linkage
SAP,MM,material_master_basic_data,Benchmark-derived SAP material master staging seed,MEINS,Base unit of measure maintained in material master,meins,VARCHAR,10,EA,supply_chain,ui_fixtures/showcase_material_master/showcase_material_source.xml,benchmark_fixture,internal,,2026-05-19,unit_of_measure.code,candidate,Seeded from benchmark fixture pending authoritative SAP source linkage
SAP,MM,material_master_basic_data,Benchmark-derived SAP material master staging seed,BRGEW,Gross weight of the material,brgew,"DECIMAL(10,3)",,12.500,supply_chain,ui_fixtures/showcase_material_master/showcase_material_source.xml,benchmark_fixture,internal,,2026-05-19,weight.gross,candidate,Seeded from benchmark fixture pending authoritative SAP source linkage
SAP,MM,material_master_basic_data,Benchmark-derived SAP material master staging seed,NTGEW,Net weight of the material,ntgew,"DECIMAL(10,3)",,12.100,supply_chain,ui_fixtures/showcase_material_master/showcase_material_source.xml,benchmark_fixture,internal,,2026-05-19,weight.net,candidate,Seeded from benchmark fixture pending authoritative SAP source linkage
SAP,MM,material_master_basic_data,Benchmark-derived SAP material master staging seed,GEWEI,Weight unit code such as KG,gewei,VARCHAR,5,KG,supply_chain,ui_fixtures/showcase_material_master/showcase_material_source.xml,benchmark_fixture,internal,,2026-05-19,weight_unit.code,candidate,Seeded from benchmark fixture pending authoritative SAP source linkage
SAP,MM,material_master_basic_data,Benchmark-derived SAP material master staging seed,ERSDA,Material creation date,ersda,DATE,,2023-01-10,supply_chain,ui_fixtures/showcase_material_master/showcase_material_source.xml,benchmark_fixture,internal,,2026-05-19,created_date,candidate,Seeded from benchmark fixture pending authoritative SAP source linkage
SAP,MM,material_master_basic_data,Benchmark-derived SAP material master staging seed,XCHPF,Batch management indicator,xchpf,BOOLEAN,,X,supply_chain,ui_fixtures/showcase_material_master/showcase_material_source.xml,benchmark_fixture,internal,,2026-05-19,batch_managed_flag,knowledge_only,Seeded from benchmark fixture pending authoritative SAP source linkage
SAP,MM,material_master_basic_data,Benchmark-derived SAP material master staging seed,LVORM,Deletion flag for the material,lvorm,BOOLEAN,,,supply_chain,ui_fixtures/showcase_material_master/showcase_material_source.xml,benchmark_fixture,internal,,2026-05-19,deletion_mark,knowledge_only,Seeded from benchmark fixture pending authoritative SAP source linkage
