system,module,object_name,object_description,field_name,field_description,normalized_field_name,data_type,length_or_format,sample_value,domain,source_artifact,source_type,source_scope,parser_name,last_verified_at,candidate_concept_id,promotion_status,notes
SAP,SD,customer_sales_area,Benchmark-derived SAP customer sales-area staging seed,KUNNR,SAP customer number used to identify the sold-to party,kunnr,VARCHAR,20,0000200001,sales,ui_fixtures/showcase_customer_sales_area/showcase_customer_sales_area_source.xml,benchmark_fixture,internal,,2026-05-19,customer.id,candidate,Seeded from benchmark fixture pending authoritative SAP source linkage
SAP,SD,customer_sales_area,Benchmark-derived SAP customer sales-area staging seed,NAME1,Customer name in the general master,name1,VARCHAR,120,Acme Retail DE,sales,ui_fixtures/showcase_customer_sales_area/showcase_customer_sales_area_source.xml,benchmark_fixture,internal,,2026-05-19,customer.name,candidate,Seeded from benchmark fixture pending authoritative SAP source linkage
SAP,SD,customer_sales_area,Benchmark-derived SAP customer sales-area staging seed,VKORG,Sales organization responsible for the customer sales area,vkorg,VARCHAR,10,1000,sales,ui_fixtures/showcase_customer_sales_area/showcase_customer_sales_area_source.xml,benchmark_fixture,internal,,2026-05-19,sales_organization.id,candidate,Seeded from benchmark fixture pending authoritative SAP source linkage
SAP,SD,customer_sales_area,Benchmark-derived SAP customer sales-area staging seed,VTWEG,Distribution channel used for sales processing,vtweg,VARCHAR,10,10,sales,ui_fixtures/showcase_customer_sales_area/showcase_customer_sales_area_source.xml,benchmark_fixture,internal,,2026-05-19,distribution_channel.id,knowledge_only,Seeded from benchmark fixture pending authoritative SAP source linkage
SAP,SD,customer_sales_area,Benchmark-derived SAP customer sales-area staging seed,SPART,Division code for the customer sales area,spart,VARCHAR,10,00,sales,ui_fixtures/showcase_customer_sales_area/showcase_customer_sales_area_source.xml,benchmark_fixture,internal,,2026-05-19,division.id,knowledge_only,Seeded from benchmark fixture pending authoritative SAP source linkage
SAP,SD,customer_sales_area,Benchmark-derived SAP customer sales-area staging seed,KDGRP,Customer group code used for segmentation,kdgrp,VARCHAR,10,01,sales,ui_fixtures/showcase_customer_sales_area/showcase_customer_sales_area_source.xml,benchmark_fixture,internal,,2026-05-19,customer_group.id,knowledge_only,Seeded from benchmark fixture pending authoritative SAP source linkage
SAP,SD,customer_sales_area,Benchmark-derived SAP customer sales-area staging seed,BZIRK,Sales district code,bzirk,VARCHAR,10,BER,sales,ui_fixtures/showcase_customer_sales_area/showcase_customer_sales_area_source.xml,benchmark_fixture,internal,,2026-05-19,sales_district.id,knowledge_only,Seeded from benchmark fixture pending authoritative SAP source linkage
SAP,SD,customer_sales_area,Benchmark-derived SAP customer sales-area staging seed,VSBED,Shipping conditions code,vsbed,VARCHAR,10,01,sales,ui_fixtures/showcase_customer_sales_area/showcase_customer_sales_area_source.xml,benchmark_fixture,internal,,2026-05-19,shipping_condition.code,knowledge_only,Seeded from benchmark fixture pending authoritative SAP source linkage
SAP,SD,customer_sales_area,Benchmark-derived SAP customer sales-area staging seed,INCO1,Incoterms code,inco1,VARCHAR,10,CIP,sales,ui_fixtures/showcase_customer_sales_area/showcase_customer_sales_area_source.xml,benchmark_fixture,internal,,2026-05-19,incoterm.code,candidate,Seeded from benchmark fixture pending authoritative SAP source linkage
SAP,SD,customer_sales_area,Benchmark-derived SAP customer sales-area staging seed,INCO2,Incoterms location,inco2,VARCHAR,80,Berlin,sales,ui_fixtures/showcase_customer_sales_area/showcase_customer_sales_area_source.xml,benchmark_fixture,internal,,2026-05-19,incoterm.location,candidate,Seeded from benchmark fixture pending authoritative SAP source linkage
SAP,SD,customer_sales_area,Benchmark-derived SAP customer sales-area staging seed,WAERS,Document currency code,waers,VARCHAR,5,EUR,finance,ui_fixtures/showcase_customer_sales_area/showcase_customer_sales_area_source.xml,benchmark_fixture,internal,,2026-05-19,currency.code,candidate,Seeded from benchmark fixture pending authoritative SAP source linkage
SAP,SD,customer_sales_area,Benchmark-derived SAP customer sales-area staging seed,ZTERM,Payment terms key,zterm,VARCHAR,10,0001,finance,ui_fixtures/showcase_customer_sales_area/showcase_customer_sales_area_source.xml,benchmark_fixture,internal,,2026-05-19,payment_term.id,candidate,Seeded from benchmark fixture pending authoritative SAP source linkage
SAP,SD,customer_sales_area,Benchmark-derived SAP customer sales-area staging seed,KALKS,Customer pricing procedure code,kalks,VARCHAR,10,1,sales,ui_fixtures/showcase_customer_sales_area/showcase_customer_sales_area_source.xml,benchmark_fixture,internal,,2026-05-19,pricing_procedure.code,knowledge_only,Seeded from benchmark fixture pending authoritative SAP source linkage
SAP,SD,customer_sales_area,Benchmark-derived SAP customer sales-area staging seed,PLTYP,Price list type,pltyp,VARCHAR,10,A1,sales,ui_fixtures/showcase_customer_sales_area/showcase_customer_sales_area_source.xml,benchmark_fixture,internal,,2026-05-19,price_list_type.id,knowledge_only,Seeded from benchmark fixture pending authoritative SAP source linkage
