qb_module,qb_table,qb_field,qb_description,qb_field_type,qb_data_type,qb_max_length,direct_field_canonical_concept_id,description_canonical_concept_id,top_canonical_concept_id,top_canonical_strength,top_canonical_matches,top_knowledge_concept_id,top_knowledge_strength,top_knowledge_matches,classification_bucket,review_recommendation
AR,Customer,ListID,Unique internal QB GUID for customer,GUID,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,TimeCreated,Timestamp when record was created,DATETIME,DATETIME,n/a,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,TimeModified,Last modification timestamp,DATETIME,DATETIME,n/a,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,EditSequence,Optimistic lock version token,VARCHAR,VARCHAR,16,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,ClassRef_ListID,FK → Class.ListID,FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,ParentRef_ListID,FK → Customer.ListID (parent),FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,Sublevel,Hierarchy depth (0 = top level),INT,INT,n/a,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,Suffix,"Name suffix (Jr., Sr., etc.)",VARCHAR,VARCHAR,10,,,,,,suffix,1.00,suffix:1.00,knowledge_only,"Knowledge support exists, but no current canonical concept is reachable."
AR,Customer,BillAddress_City,Billing city,VARCHAR,VARCHAR,31,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,BillAddress_Country,Billing country,VARCHAR,VARCHAR,31,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,ShipAddress_City,Shipping city,VARCHAR,VARCHAR,31,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,ShipAddress_Country,Shipping country,VARCHAR,VARCHAR,31,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,ShipToAddress_Name,Named ship-to address label,VARCHAR,VARCHAR,41,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,Fax,Fax number,VARCHAR,VARCHAR,21,,,,,,fax number,1.00,fax number:1.00,knowledge_only,"Knowledge support exists, but no current canonical concept is reachable."
AR,Customer,ContactsCount,Number of contacts on record,INT,INT,n/a,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,CustomerTypeRef_ListID,FK → CustomerType.ListID,FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,TermsRef_ListID,FK → Terms.ListID,FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,TermsRef_FullName,Terms name,VARCHAR,VARCHAR,31,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,SalesRepRef_ListID,FK → SalesRep.ListID,FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,SalesRepRef_FullName,Sales rep initials/name,VARCHAR,VARCHAR,5,,,,,,sales rep,0.55,sales rep:0.55,knowledge_only,"Knowledge support exists, but no current canonical concept is reachable."
AR,Customer,OpenBalanceDate,Date of open balance (new customers),DATE,DATE,n/a,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,SalesTaxCodeRef_ListID,FK → SalesTaxCode.ListID,FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,ItemSalesTaxRef_ListID,FK → SalesTax item for this customer,FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,PreferredPaymentMethodRef_ListID,FK → PaymentMethod.ListID,FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,CreditCardNumber,Stored credit card number (masked),VARCHAR,VARCHAR,25,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,CreditCardExpMonth,Credit card expiry month,INT,INT,n/a,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,CreditCardExpYear,Credit card expiry year,INT,INT,n/a,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,CreditCardNameOnCard,Name on credit card,VARCHAR,VARCHAR,41,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,DeliveryMethod,Preferred delivery (None/Email/Fax/Mail),ENUM,VARCHAR,8,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,PriceLevelRef_ListID,FK → PriceLevel.ListID,FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,CurrencyRef_ListID,FK → Currency.ListID (multicurrency),FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,IsStatementWithParent,Roll up to parent statement flag,BOOL,BOOL,n/a,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,DeliveryMethod,Invoice delivery preference,ENUM,VARCHAR,8,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,CustomField1,User-defined custom field 1,VARCHAR,VARCHAR,1024,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,CustomField2,User-defined custom field 2,VARCHAR,VARCHAR,1024,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,CustomField3,User-defined custom field 3,VARCHAR,VARCHAR,1024,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Customer,Notes,Free-text notes on customer,VARCHAR,VARCHAR,4095,,,,,,notes comments,1.00,notes comments:1.00,knowledge_only,"Knowledge support exists, but no current canonical concept is reachable."
AR,Invoice,TxnID,Unique QB GUID for the transaction,GUID,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Invoice,TimeCreated,Timestamp when created,DATETIME,DATETIME,n/a,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Invoice,TimeModified,Last modification timestamp,DATETIME,DATETIME,n/a,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Invoice,EditSequence,Optimistic lock version token,VARCHAR,VARCHAR,16,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Invoice,TxnNumber,Auto-increment transaction number,INT,INT,n/a,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Invoice,CustomerRef_ListID,FK → Customer.ListID,FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Invoice,ClassRef_ListID,FK → Class.ListID,FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Invoice,ARAccountRef_ListID,FK → Account.ListID (AR account),FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Invoice,TemplateRef_ListID,FK → Template.ListID,FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Invoice,TemplateRef_FullName,Template name,VARCHAR,VARCHAR,31,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Invoice,TxnDate,Invoice date,DATE,DATE,n/a,,,,,,accounting.posting_date,1.00,accounting.posting_date:1.00 | inventory_transaction.date:1.00 | invoice.posting_date:1.00,knowledge_only,"Knowledge support exists, but no current canonical concept is reachable."
AR,Invoice,BillAddress_Addr3,Bill-to address line 3,VARCHAR,VARCHAR,41,,,,,,address line 3,0.55,address line 3:0.55,knowledge_only,"Knowledge support exists, but no current canonical concept is reachable."
AR,Invoice,BillAddress_Addr4,Bill-to address line 4,VARCHAR,VARCHAR,41,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Invoice,BillAddress_Addr5,Bill-to address line 5,VARCHAR,VARCHAR,41,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Invoice,BillAddress_City,Bill-to city,VARCHAR,VARCHAR,31,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Invoice,BillAddress_State,Bill-to state,VARCHAR,VARCHAR,21,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Invoice,ShipAddress_Addr3,Ship-to address line 3,VARCHAR,VARCHAR,41,,,,,,address line 3,0.55,address line 3:0.55,knowledge_only,"Knowledge support exists, but no current canonical concept is reachable."
AR,Invoice,ShipAddress_Addr4,Ship-to address line 4,VARCHAR,VARCHAR,41,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Invoice,ShipAddress_Addr5,Ship-to address line 5,VARCHAR,VARCHAR,41,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Invoice,ShipAddress_City,Ship-to city,VARCHAR,VARCHAR,31,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Invoice,ShipAddress_State,Ship-to state,VARCHAR,VARCHAR,21,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Invoice,IsPending,Draft / pending status,BOOL,BOOL,n/a,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Invoice,IsFinanceCharge,Finance charge invoice flag,BOOL,BOOL,n/a,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Invoice,TermsRef_ListID,FK → Terms.ListID,FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Invoice,SalesRepRef_ListID,FK → SalesRep.ListID,FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Invoice,SalesRepRef_FullName,Sales rep initials,VARCHAR,VARCHAR,5,,,,,,sales rep,0.55,sales rep:0.55,knowledge_only,"Knowledge support exists, but no current canonical concept is reachable."
AR,Invoice,FOB,Freight on board point,VARCHAR,VARCHAR,13,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Invoice,ShipMethodRef_ListID,FK → ShipMethod.ListID,FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Invoice,ItemDiscountRef_ListID,FK → Discount item,FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Invoice,DiscountRate,Discount percent applied,PERCENT,"DECIMAL(8,4)",n/a,,,,,,discount percent,0.55,discount percent:0.55,knowledge_only,"Knowledge support exists, but no current canonical concept is reachable."
AR,Invoice,ItemSalesTaxRef_ListID,FK → SalesTax item,FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Invoice,CurrencyRef_ListID,FK → Currency.ListID,FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Invoice,CurrencyRef_FullName,Currency name,VARCHAR,VARCHAR,64,,,,,,currency description,0.90,currency description:0.90,knowledge_only,"Knowledge support exists, but no current canonical concept is reachable."
