entry_type,canonical_term,canonical_concept_id,alias,domain,source_system,note
concept_alias,Country_ISO_Code,address.country,Country_ISO_Code,Human Capital Management,Workday_Webservice,Wave-1 Direct/Description: Country_ReferenceType.Country_ISO_Code (string) - ISO Code identifying the country where the naming rules for this name are defined. Workday provides the ability for a cu
concept_alias,ID,address.city,ID,Human Capital Management,Workday_Webservice,Wave-1 Direct/Description: Job_Family_DataType.ID (string) - The ID of the Job Family data (Job_Family_ID).
concept_alias,Effective_Date,employee.position,Effective_Date,Human Capital Management,Workday_Webservice,Wave-1 Direct/Description: Job_Family_DataType.Effective_Date (date) - Effective Date of Job Family.
concept_alias,Name,address.city,Name,Human Capital Management,Workday_Webservice,Wave-1 Direct/Description: Job_Family_DataType.Name (string) - Text attribute identifying Job Family Name.
concept_alias,Inactive,address.city,Inactive,Human Capital Management,Workday_Webservice,Wave-1 Direct/Description: Job_Family_DataType.Inactive (boolean) - Boolean attribute indicating if a Job Family/Job Family Group is Inactive or not. Inactive Job Families/Groups will not 
concept_alias,Integration_ID_Data,employee.position,Integration_ID_Data,Human Capital Management,Workday_Webservice,"Wave-1 Direct/Description: Location_DataType.Integration_ID_Data (External_Integration_ID_DataType) - The unique location ID. The organization, position and hire tabs will reference location ID."
concept_alias,Location_Name,location.name,Location_Name,Human Capital Management,Workday_Webservice,Wave-1 Direct/Description: Location_DataType.Location_Name (string) - The unique location name.
concept_alias,Default_Currency_Reference,address.country,Default_Currency_Reference,Human Capital Management,Workday_Webservice,Wave-1 Direct/Description: Location_DataType.Default_Currency_Reference (CurrencyObjectType) - The default currency for the location. This value is either derived from the currency of the location country (using the
concept_alias,Organization_Reference_ID,company.id,Organization_Reference_ID,Human Capital Management,Workday_Webservice,"Wave-1 Direct/Description: Organization_DataType.Organization_Reference_ID (string) - Organization Reference ID. To ensure backward compatibility, the Organization Reference ID element will not be populated"
concept_alias,Include_Organization_ID_in_Name,employee.department,Include_Organization_ID_in_Name,Human Capital Management,Workday_Webservice,Wave-1 Direct/Description: Organization_DataType.Include_Organization_ID_in_Name (boolean) - Boolean attribute identifying whether to include the Organization ID within the name (Display ID within Workday). A new 
concept_alias,Organization_Name,account.name,Organization_Name,Human Capital Management,Workday_Webservice,Wave-1 Direct/Description: Organization_DataType.Organization_Name (string) - Text attribute identifying Organization Name. A new effective-dated organization name is automatically created if value 
concept_alias,Include_Leader_In_Name,employee.manager_id,Include_Leader_In_Name,Human Capital Management,Workday_Webservice,Wave-1 Direct/Description: Organization_DataType.Include_Leader_In_Name (boolean) - Boolean attribute identifying whether to include the Manager/Leader Name within the name (Display ID in Workday). A new 
concept_alias,Position_Management_Enabled,employee.position,Position_Management_Enabled,Human Capital Management,Workday_Webservice,Wave-1 Direct/Description: Organization_DataType.Position_Management_Enabled (boolean) - Element containing boolean attribute identifying whether Position Management is enabled.
concept_alias,Primary_Business_Site_Reference,employee.department,Primary_Business_Site_Reference,Human Capital Management,Workday_Webservice,Wave-1 Direct/Description: Organization_DataType.Primary_Business_Site_Reference (LocationObjectType) - Primary location (for supervisory organizations) is effective dated.
concept_alias,Email_Address,contact.email,Email_Address,Human Capital Management,Workday_Webservice,Wave-1 Direct/Description: Internet_Email_Address_DataType.Email_Address (string) - Text attribute identifying Email Address.
concept_alias,Phone_Number,contact.phone,Phone_Number,Human Capital Management,Workday_Webservice,Wave-1 Direct/Description: Phone_Number_DataType.Phone_Number (string) - Phone number.
concept_alias,Country_Of_Birth_Reference,address.country,Country_Of_Birth_Reference,Human Capital Management,Workday_Webservice,Wave-1 Direct/Description: Biographic_DataType.Country_Of_Birth_Reference (Country_Of_Birth_ReferenceType) - ISO Code identifying the country where the naming rules for this name are defined. Workday enables you to specify an ISO
concept_alias,Place_Of_Birth,address.city,Place_Of_Birth,Human Capital Management,Workday_Webservice,Wave-1 Direct/Description: Biographic_DataType.Place_Of_Birth (string) - City or Place of Birth.
concept_alias,Date_Of_Birth,employee.birth_date,Date_Of_Birth,Human Capital Management,Workday_Webservice,Wave-1 Direct/Description: Biographic_DataType.Date_Of_Birth (date) - Date of Birth.
concept_alias,Country_Reference,address.country,Country_Reference,Human Capital Management,Workday_Webservice,Wave-1 Direct/Description: Country_Of_Birth_ReferenceType.Country_Reference (Country_ReferenceType)
concept_alias,Hispanic_or_Latino,address.city,Hispanic_or_Latino,Human Capital Management,Workday_Webservice,Wave-1 Direct/Description: Demographic_DataType.Hispanic_or_Latino (boolean) - A flag indicating Hispanic or Latino for EEO purposes.
concept_alias,Ethnicity_Reference,address.city,Ethnicity_Reference,Human Capital Management,Workday_Webservice,Wave-1 Direct/Description: Demographic_DataType.Ethnicity_Reference (Ethnicity_ReferenceType)
