wd_entity,wd_field,wd_type,wd_description,classification_bucket,direct_field_canonical_concept_id,description_canonical_concept_id,top_canonical_concept_id,top_canonical_strength,top_knowledge_concept_id,top_knowledge_strength
Organization_DataType,Frozen_Status,boolean,Element containing boolean attribute identifying whether a Hiring Freeze is currently in affect.,unmapped,,,,,,
Instant_Messenger_DataType,Instant_Messenger_Address,string,Instant Messenger Address.,unmapped,,,,,,
Instant_Messenger_Type_ReferenceType,Instant_Messenger_Provider,string,Unique attribute name/description identifying a valid instance of Instant Messenger Type.,unmapped,,,,,,
Biographic_DataType,Uses_Tobacco,boolean,Specifies whether employee uses tobacco.,unmapped,,,,,,
Demographic_DataType,Personnel_File_Agency,string,Personnel File Agency is used in China to indicate where workers have their personnel file stored.,unmapped,,,,,,
Demographic_DataType,Military_Service_Data,Military_Service_DataType,,unmapped,,,,,,
Compensation_Element_ReferenceType,Compensation_Element_Name,string,Unique attribute name/description identifying a valid instance of Compensation Element.,unmapped,,,,,,
System_User_DataType,Account_Disabled,boolean,The user is prevented from signing on to the system.,unmapped,,,,,,
System_User_DataType,Account_Locked,boolean,The user is prevented from signing on to the system until their account is unlocked.,knowledge_only,,,,,lock date,0.550
System_User_DataType,Required_New_Password_At_Next_Login,boolean,The user will be required to change their password upon initial sign on.,unmapped,,,,,,
System_User_DataType,Display_XML_Icon_on_Reports,boolean,The user will be presented with an icon to view reports as an RSS feed.,knowledge_only,,,,,manager reports to,0.550
System_User_DataType,Enable_Workbox,boolean,The user will have the Workbox tab available in the right-side slide-out.,unmapped,,,,,,
System_User_DataType,Password,string,The initial password the user will sign on with.,knowledge_only,,,,,password,1.000
System_User_DataType,Exempt_from_Delegated_Authentication,boolean,"True when the user is exempt from Delegated Authentication, False otherwise. Set this element to true if you want the user to be exempt from delegated authentication.",unmapped,,,,,,
System_User_DataType,Passcode_Exempt,boolean,"True when the user is exempt from One-Time Passcode Authentication, False otherwise. Set this element to true if you want the user to be exempt from one-time passcode authentication.",unmapped,,,,,,
System_User_DataType,Simplified_View,boolean,To enable user preferences that simplify the overall user experience.,unmapped,,,,,,
Dependent_Data_WWSType,Full-time_Student,boolean,Boolean attribute identifying whether Dependent is a Full-time Student.,unmapped,,,,,,
Dependent_Data_WWSType,Dependent_Date_of_Death,date,Date of Death of dependent.,knowledge_only,,,,,time entry date,0.900
Dependent_Data_WWSType,Disabled,boolean,Boolean attribute identifying whether Dependent is Disabled.,unmapped,,,,,,
Dependent_Data_WWSType,Court_Order_Replacement_Data,Qualified_Domestic_Relations_Order_Replacement_DataType,,unmapped,,,,,,
Beneficiary_Data_WWSType,Court_Order_Replacement_Data,Qualified_Domestic_Relations_Order_Replacement_DataType,Beneficiary Court Orders,unmapped,,,,,,
Compensation_Package_ReferenceType,Compensation_Package_Name,string,Unique attribute name/description identifying a valid instance of Compensation Package.,unmapped,,,,,,
Worker_Profile_DataType,Worker_Personal_Data,Worker_Personal_DataType,,unmapped,,,,,,
Education_History_DataType,Education_Institution,string,Text attribute identifying name of Education Institution.,unmapped,,,,,,
Education_History_DataType,Education_Institution_Location,string,Text attribute identifying Education Institution Location.,unmapped,,,,,,
Education_History_DataType,Education_Grade_Average,string,Text attribute identifying Grade Average.,unmapped,,,,,,
Degree_ReferenceType,Degree_Name,string,Unique attribute name/description identifying a valid instance of Degree.,unmapped,,,,,,
Field_Of_Study_ReferenceType,Field_Of_Study_Name,string,Unique attribute name/description identifying a valid instance of Field Of Study.,knowledge_only,,,,,education field,0.550
Qualification_DataType,Education_Data,Education_History_DataType,Encapsulating element containing all Education data.,unmapped,,,,,,
Qualification_DataType,Professional_Experience_Data,Professional_Experience_DataType,,unmapped,,,,,,
Professional_Experience_DataType,Professional_Experience,string,Text attribute identifying description of Professional Experience.,unmapped,,,,,,
Professional_Experience_Rating_ReferenceType,Rating_Description,string,Unique attribute name/description identifying a valid instance of Work Experience Rating.,unmapped,,,,,,
Previous_System_Job_HistoryType,Previous_System_Job_History,Previous_System_Job_History_DataType,,unmapped,,,,,,
Organization_Structure_DissolveType,Organization_Structure_Dissolve_Data,Organization_Structure_Dissolve_DataType,,unmapped,,,,,,
Enrollment_Period_DataType,Plan_Year,date,The year of the plan year definition.,knowledge_only,,,,,time entry date,0.900
Name_DataType,Suffix,Suffix_Name_DataType,,knowledge_only,,,,,suffix,1.000
Employee_Personal_Info_UpdateType,Employee_Personal_Info_Data,Worker_Personal_Info_DataType,,unmapped,,,,,,
Personal_Info_DataType,Qualification_Data,Qualification_DataType,,unmapped,,,,,,
Contingent_Worker_Personal_Info_UpdateType,Contingent_Worker_Personal_Info_Data,Worker_Personal_Info_DataType,,unmapped,,,,,,
Gender_DataType,Is_Female,boolean,Indicates if the gender is female.,unmapped,,,,,,
Gender_DataType,Is_Male,boolean,Indicates if the gender is male.,unmapped,,,,,,
Gender_DataType,Gender_Description,string,Genders for applicants and workers. This is used in EEO reporting.,unmapped,,,,,,
Organization_InactivateType,Validate_Only,boolean,Use this boolean to validate the request without processing it.,unmapped,,,,,,
Organization_InactivateType,Organization_Inactivate_Data,Organization_Inactivate_DataType,,unmapped,,,,,,
Organization_InactivateType,Keep_in_Hierarchy,boolean,Use this boolean to keep the organization in hierarchy.,unmapped,,,,,,
Worker_Personal_DataType,Biographic_Data,Biographic_DataType,,unmapped,,,,,,
Worker_Personal_DataType,Demographic_Data,Demographic_DataType,,unmapped,,,,,,
Organization_Add_UpdateType,Organization_Data,Organization_DataType,,unmapped,,,,,,
Gender_ReferenceType,Gender_Description,string,Unique attribute name and description that identifies a valid instance of gender.,unmapped,,,,,,
Language_ReferenceType,Language_Description,string,Unique attribute name/description identifying a valid instance of Language.,unmapped,,,,,,
Termination_Status_DataType,Termination_Category,string,Most recent termination event Category.,unmapped,,,,,,
Leave_Status_DataType,Benefits_Effect,boolean,Boolean attribute identifying whether the leave event has a Benefits Effect.,unmapped,,,,,,
Leave_Status_DataType,Payroll_Effect,boolean,Boolean attribute identifying whether the leave event has a Payroll Effect.,unmapped,,,,,,
Leave_Status_DataType,Paid_Time_Off_Accrual_Effect,boolean,Boolean attribute identifying whether the leave event has a Absence Accrual Effect.,unmapped,,,,,,
Leave_Status_DataType,Continuous_Service_Accrual_Effect,boolean,Boolean attribute identifying whether the leave event has a Continuous Service Accrual Effect.,unmapped,,,,,,
Leave_Status_DataType,Stock_Vesting_Effect,boolean,Boolean attribute identifying whether the leave event has a Stock Vesting Effect.,knowledge_only,,,,,stock status,0.550
Worker_Personal_Info_DataType,Personal_Info_Data,Personal_Info_DataType,,unmapped,,,,,,
School_Type_ReferenceType,Institution_Type_Name,string,Unique attribute name/description identifying a valid instance of Educational Institution Type.,unmapped,,,,,,
Employee_Personal_InfoType,Employee_Personal_Info_Data,Worker_Personal_Info_DataType,,unmapped,,,,,,
Employee_Related_PersonsType,Related_Persons_Data,Related_Persons_DataType,,unmapped,,,,,,
Worker_ProfileType,Worker_Profile_Data,Worker_Profile_DataType,,unmapped,,,,,,
Business_SiteType,Location_Data,Location_DataType,,unmapped,,,,,,
Organization_WWSType,Organization_Data,Organization_WWS_DataType,,unmapped,,,,,,
Contingent_Worker_Personal_InfoType,Contingent_Worker_Personal_Info_Data,Worker_Personal_Info_DataType,,unmapped,,,,,,
Server_TimestampType,Server_Timestamp_Data,dateTime,Encapsulating element containing all Server Timestamp data.,unmapped,,,,,,
Employee_Image_UpdateType,Employee_Image_Data,Employee_Image_DataType,,unmapped,,,,,,
Employee_Image_DataType,Image,base64Binary,File content in binary format.,unmapped,,,,,,
EmployeeType,Employee_Data,Employee_DataType,,unmapped,,,,,,
Employee_DataType,Personal_Info_Data,Personal_Info_DataType,,unmapped,,,,,,
Contingent_WorkerType,Contingent_Worker_Data,Contingent_Worker_DataType,,unmapped,,,,,,
Contingent_Worker_DataType,Personal_Info_Data,Personal_Info_DataType,,unmapped,,,,,,
Address_DataType,Address_Line,Address_Line_DataType,,unmapped,,,,,,
Address_DataType,Subregion,Subregion_DataType,,unmapped,,,,,,
Worker_Event_HistoryType,Worker_Event_History_Data,Worker_Event_History_DataType,,unmapped,,,,,,
