wd_entity,wd_field,wd_type,wd_description,classification_bucket,direct_field_canonical_concept_id,description_canonical_concept_id,top_canonical_concept_id,top_canonical_strength,top_knowledge_concept_id,top_knowledge_strength
Country_ReferenceType,Country_ISO_Code,string,"ISO Code identifying the country where the naming rules for this name are defined. Workday provides the ability for a customer to specify an ISO Code at the country level. Each customer can also define various rules around names, required fields for names, labels for name fields at the Country level. http://en.wikipedia.org/wiki/ISO_3166-1_alpha-3",direct_alias_match,address.country,,account.name,0.500,address.country,1.000
Job_Family_DataType,ID,string,The ID of the Job Family data (Job_Family_ID).,direct_alias_match,address.city,,activity id,1.000,account.id,1.000
Job_Family_DataType,Effective_Date,date,Effective Date of Job Family.,direct_alias_match,employee.position,,address.country,0.800,employee.position,1.000
Job_Family_DataType,Name,string,Text attribute identifying Job Family Name.,direct_alias_match,address.city,,activity id,0.800,address.city,1.000
Job_Family_DataType,Inactive,boolean,Boolean attribute indicating if a Job Family/Job Family Group is Inactive or not. Inactive Job Families/Groups will not appear in prompts.,direct_alias_match,address.city,,activity id,0.800,address.city,1.000
Location_DataType,Integration_ID_Data,External_Integration_ID_DataType,"The unique location ID. The organization, position and hire tabs will reference location ID.",direct_alias_match,employee.position,,address.city,0.500,address.country,0.550
Location_DataType,Location_Name,string,The unique location name.,direct_alias_match,location.name,,location.name,1.000,,
Location_DataType,Default_Currency_Reference,CurrencyObjectType,"The default currency for the location. This value is either derived from the currency of the location country (using the primary address), or the default currency overridden by the location.",direct_alias_match,address.country,,accounting.document_currency_code,0.500,address id,0.550
Location_DataType,Inactive,boolean,Boolean attribute indicates if the Location is inactive.,direct_alias_match,address.city,,activity id,0.800,address.city,1.000
Business_Site_FindType,Location_Name,string,"If specified, this search criterium will return those references with an exact match. The search index used to query on this value is not case-sensitive.",direct_alias_match,location.name,,invoice.amount,0.600,gross amount,0.550
Organization_DataType,Organization_Reference_ID,string,"Organization Reference ID. To ensure backward compatibility, the Organization Reference ID element will not be populated on outbound data (i.e. Get Organization web service) for Workday 9 and earlier versions. It will be populated with on outbound data starting with Workday 10.",direct_alias_match,company.id,,company.id,1.000,company id,0.550
Organization_DataType,Include_Organization_ID_in_Name,boolean,Boolean attribute identifying whether to include the Organization ID within the name (Display ID within Workday). A new effective-dated organization name is automatically created if value for this field is different as of specified effective date.,direct_alias_match,employee.department,,account.name,0.600,address valid to,0.550
Organization_DataType,Integration_ID_Data,External_Integration_ID_DataType,Integration ID Data,direct_alias_match,employee.position,,address.country,0.800,company id,0.550
Organization_DataType,Organization_Name,string,Text attribute identifying Organization Name. A new effective-dated organization name is automatically created if value for this field is different as of specified effective date.,direct_alias_match,account.name,,account.name,1.000,created date,0.550
Organization_DataType,Include_Leader_In_Name,boolean,Boolean attribute identifying whether to include the Manager/Leader Name within the name (Display ID in Workday). A new effective-dated organization name is automatically created if value for this field is different as of specified effective date.,direct_alias_match,employee.manager_id,,account.name,0.600,address valid to,0.550
Organization_DataType,Position_Management_Enabled,boolean,Element containing boolean attribute identifying whether Position Management is enabled.,direct_alias_match,employee.position,,account.status,0.500,active flag,0.550
Organization_DataType,Primary_Business_Site_Reference,LocationObjectType,Primary location (for supervisory organizations) is effective dated.,direct_alias_match,employee.department,,activity id,0.500,address.country,0.550
Internet_Email_Address_DataType,Email_Address,string,Text attribute identifying Email Address.,direct_alias_match,contact.email,,contact.email,1.000,email,1.000
Phone_Number_DataType,Country_ISO_Code,,"Country ISO code. If the Country ISO code is specified, then this ISO code will be used to determine the Country Phone Code for (eliminate space between f and o) the phone. Pass this ISO code to distinguish between multiple countries sharing the same Country Phone Code. (For example, 1 is the Country Phone Code that is shared by USA, Canada, Dominican Republic, Bermuda, Jamaica, and Puerto Rico.)",direct_alias_match,address.country,,address.city,0.800,address.country,1.000
Phone_Number_DataType,Phone_Number,string,Phone number.,direct_alias_match,contact.phone,,contact.id,0.600,employee.phone,1.000
Biographic_DataType,Country_Of_Birth_Reference,Country_Of_Birth_ReferenceType,"ISO Code identifying the country where the naming rules for this name are defined. Workday enables you to specify an ISO Code at the country level. Each customer can also define various rules around names, required fields for names, and labels for name fields at the Country level. http://en.wikipedia.org/wiki/ISO_3166-1_alpha-3",direct_alias_match,address.country,,account.id,0.500,account owner,0.550
Biographic_DataType,Place_Of_Birth,string,City or Place of Birth.,direct_alias_match,address.city,,activity id,0.800,address.city,1.000
Biographic_DataType,Date_Of_Birth,date,Date of Birth.,direct_alias_match,employee.birth_date,,employee.birth_date,1.000,date of birth,1.000
Country_Of_Birth_ReferenceType,Country_Reference,Country_ReferenceType,,direct_alias_match,address.country,,activity id,0.800,address.country,1.000
Demographic_DataType,Hispanic_or_Latino,boolean,A flag indicating Hispanic or Latino for EEO purposes.,direct_alias_match,address.city,,activity id,0.800,address.city,1.000
Demographic_DataType,Ethnicity_Reference,Ethnicity_ReferenceType,,direct_alias_match,address.city,,activity id,0.800,address.city,1.000
Demographic_DataType,Nationality_Reference,Country_and_NationalityObjectType,Reference for the person's Country of Nationality,direct_alias_match,address.country,,activity id,0.500,address.country,1.000
Demographic_DataType,Hukou_Region_Reference,Country_RegionObjectType,Country Region on the Hukou of the person. This field is only available for the country China and the person with citizenship status of China.,direct_alias_match,address.country,,activity id,0.500,address.country,1.000
Demographic_DataType,Hukou_Subregion_Reference,Country_SubregionObjectType,Country Subregion on the Hukou of the person. This field is only available for the country China and the person with citizenship status of China.,direct_alias_match,address.country,,activity id,0.500,address.country,1.000
Demographic_DataType,Hukou_Locality,string,Locality on the Hukou of the person. This field is only available for the country China and the person with citizenship status of China.,direct_alias_match,address.country,,address.city,0.800,address.country,1.000
Demographic_DataType,Hukou_Postal_Code,string,Hukou postal code for the person. This field is only available for the country China and the person with citizenship status of China.,direct_alias_match,address.country,,address.city,0.800,address.country,1.000
Demographic_DataType,Hukou_Type_Reference,Hukou_TypeObjectType,Hukou type on the Hukou of the person. This field is only available for the country China and the person with citizenship status of China.,direct_alias_match,address.country,,activity id,0.500,address.country,1.000
Demographic_DataType,Native_Region_Reference,Country_RegionObjectType,The Native Region for the person.,direct_alias_match,address.country,,activity id,0.500,address.country,1.000
External_Contact_DataType,Integration_ID_Data,External_Integration_ID_DataType,,direct_alias_match,employee.position,,address.country,0.800,contact id,0.550
Vendor_ReferenceType,Vendor_Name,string,Unique attribute name/description identifying a valid instance of Vendor (Business Entity).,direct_alias_match,supplier.name,,contact.name,0.800,supplier name,1.000
Visa_Identifier_DataType,Country_Reference,Country_ReferenceType,,direct_alias_match,address.country,,activity id,0.800,address.country,1.000
Visa_Identifier_DataType,Issued_Date,date,Date the Visa ID was issued.,direct_alias_match,employee.national_id,,activity id,0.800,employee.national_id,1.000
Visa_Identifier_DataType,Expiration_Date,date,Date the Visa ID expires.,direct_alias_match,employee.national_id,,activity id,0.800,employee.national_id,1.000
Visa_Identifier_DataType,Verification_Date,date,Date the Visa ID was verified.,direct_alias_match,employee.national_id,,activity id,0.800,employee.national_id,1.000
Custom_Identifier_DataType,Issued_Date,date,Date the Custom ID was issued.,direct_alias_match,employee.national_id,,activity id,0.800,employee.national_id,1.000
Custom_Identifier_DataType,Expiration_Date,date,Date the Custom ID expires.,direct_alias_match,employee.national_id,,activity id,0.800,employee.national_id,1.000
