sap_module,sap_table,sap_field,sap_description,sap_data_element,sap_domain,sap_table_description,classification_bucket,top_canonical_concept_id,top_canonical_strength,second_canonical_concept_id,second_canonical_strength,strength_margin,confidence_tier,top_canonical_matches,candidate_reason
MM,MARM,DUMMY_UOM_INCL_EEW_PS,MD Product UOM,UOM_INCL_EEW,UOM_INCL_EEW,Units of Measure for Material Alternative units of measure and conversions. MM Materials Mgmt,unmapped,material.base_uom_code,0.60,,,0.60,medium,material.base_uom_code:0.60,context_enriched_unmapped_auto_candidate
MM,MARM,/STTPEC/UOM_SYNC,Synchronization Active for UoM,/STTPEC/E_UOM_SYNCACT,XFELD,Units of Measure for Material Alternative units of measure and conversions. MM Materials Mgmt,unmapped,material.base_uom_code,0.60,,,0.60,medium,material.base_uom_code:0.60,context_enriched_unmapped_auto_candidate
MM,EBAN,ESTKZ,Creation indicator (purchase requisition/schedule lines),ESTKZ,ESTKZ,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,weak_canonical_candidate,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,FRGKZ,Release Indicator,FRGKZ,FRGKZ,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,FRGZU,Release State,FRGZU,FRGZU,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,FRGST,Release strategy in the purchase requisition,FRGST,FRGST,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,weak_canonical_candidate,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,TXZ01,Short Text,TXZ01,TEXT40,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,RESWK,Supplying (issuing) plant in case of stock transport order,RESWK,WERKS,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,WEBAZ,Goods receipt processing time in days,WEBAZ,DEC3,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,weak_canonical_candidate,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50 | route.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,KZVBR,Consumption posting,KZVBR,KZVBR,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,KFLAG,Acct.asst.modifiable,KFLAG,XFELD,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,VRTKZ,Distribution Indicator for Multiple Account Assignment,VRTKZ,VRTKZ,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,TWRKZ,Partial invoice indicator,TWRKZ,TWRKZ,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,WEPOS,Goods Receipt Indicator,WEPOS,XFELD,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,knowledge_only,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,WEUNB,"Goods Receipt, Non-Valuated",WEUNB,XFELD,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,knowledge_only,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,REPOS,Invoice Receipt Indicator,REPOS,XFELD,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,FLIEF,Fixed Vendor,FLIEF,LIFNR,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,ZUGBA,Assigned Source of Supply,DZUGBA,XFELD,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,QUPOS,Quota arrangement item,QUPOS,NUM03,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,DISPO,MRP Controller,DISPO,DISPO,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,BATOL,Resubmission interval of purchase requisition,BATOL,BATOL,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,weak_canonical_candidate,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,BSMNG,Quantity ordered against this purchase requisition,BSMNG,MENG13,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,weak_canonical_candidate,requisition.line_item_number,0.60,bom.quantity,0.50,0.10,medium,requisition.line_item_number:0.60 | bom.quantity:0.50 | goods_receipt.quantity:0.50,context_enriched_unmapped_auto_candidate
