concept_id,system,object_name,field_name,category,object_description,field_description,note
contact.name,QuickBooks,Customer,FullName,AR,,Hierarchical name (Parent:Child),Materialized from direct_alias_match; QBO table-field context only.
account.status,QuickBooks,Customer,IsActive,AR,,Active flag,Materialized from direct_alias_match; QBO table-field context only.
party.salutation,QuickBooks,Customer,Salutation,AR,,"Salutation / title (Mr., Dr., etc.)",Materialized from direct_alias_match; QBO table-field context only.
employee.position,QuickBooks,Customer,JobTitle,AR,,Contact job title,Materialized from direct_alias_match; QBO table-field context only.
cost_center.id,QuickBooks,Customer,Cc,AR,,CC email address(es),Materialized from direct_alias_match; QBO table-field context only.
customer.credit_limit,QuickBooks,Customer,CreditLimit,AR,,Approved credit limit,Materialized from direct_alias_match; QBO table-field context only.
purchase_order.id,QuickBooks,Invoice,PONumber,AR,,Customer purchase order number,Materialized from direct_alias_match; QBO table-field context only.
invoice.due_date,QuickBooks,Invoice,DueDate,AR,,Payment due date,Materialized from description_alias_match; context from QBO field description.
shipment.planned_ship_date,QuickBooks,Invoice,ShipDate,AR,,Scheduled ship date,Materialized from description_alias_match; context from QBO field description.
exchange_rate.rate,QuickBooks,Invoice,ExchangeRate,AR,,Exchange rate vs home currency,Materialized from direct_alias_match; QBO table-field context only.
asset.serial_number,QuickBooks,InvoiceLine,SerialNumber,AR,,Serial number (inventory tracking),Materialized from direct_alias_match; QBO table-field context only.
batch.id,QuickBooks,InvoiceLine,LotNumber,AR,,Lot number (inventory tracking),Materialized from direct_alias_match; QBO table-field context only.
goods_receipt.id,QuickBooks,SalesReceipt,RefNumber,AR,,Receipt number,Materialized from description_alias_match; context from QBO field description.
exchange_rate.rate,QuickBooks,SalesReceipt,ExchangeRate,AR,,Exchange rate,Materialized from direct_alias_match; QBO table-field context only.
payment.date,QuickBooks,ReceivePayment,TxnDate,AR,,Payment date,Materialized from description_alias_match; context from QBO field description.
exchange_rate.rate,QuickBooks,ReceivePayment,ExchangeRate,AR,,Exchange rate,Materialized from direct_alias_match; QBO table-field context only.
payment.method_code,QuickBooks,ReceivePayment,PaymentMethodRef_FullName,AR,,Payment method,Materialized from description_alias_match; context from QBO field description.
purchase_order.id,QuickBooks,CreditMemo,PONumber,AR,,PO number reference,Materialized from direct_alias_match; QBO table-field context only.
exchange_rate.rate,QuickBooks,CreditMemo,ExchangeRate,AR,,Exchange rate,Materialized from direct_alias_match; QBO table-field context only.
account.status,QuickBooks,Terms,IsActive,AR,,Active flag,Materialized from direct_alias_match; QBO table-field context only.
purchase_order.id,QuickBooks,Estimate,PONumber,AR,,Customer PO number,Materialized from direct_alias_match; QBO table-field context only.
account.status,QuickBooks,Estimate,IsActive,AR,,Active (open) flag,Materialized from direct_alias_match; QBO table-field context only.
account.status,QuickBooks,Vendor,IsActive,AP,,Active flag,Materialized from direct_alias_match; QBO table-field context only.
party.salutation,QuickBooks,Vendor,Salutation,AP,,Salutation,Materialized from direct_alias_match; QBO table-field context only.
employee.position,QuickBooks,Vendor,JobTitle,AP,,Contact job title,Materialized from direct_alias_match; QBO table-field context only.
address.line1,QuickBooks,Vendor,VendorAddress_Addr1,AP,,Address line 1,Materialized from description_alias_match; context from QBO field description.
address.line2,QuickBooks,Vendor,VendorAddress_Addr2,AP,,Address line 2,Materialized from description_alias_match; context from QBO field description.
supplier.address,QuickBooks,Vendor,VendorAddress_City,AP,,City,Materialized from description_alias_match; context from QBO field description.
address.postal_code,QuickBooks,Vendor,VendorAddress_PostalCode,AP,,Postal code,Materialized from description_alias_match; context from QBO field description.
supplier.address,QuickBooks,Vendor,VendorAddress_Country,AP,,Country,Materialized from description_alias_match; context from QBO field description.
contact.email,QuickBooks,Vendor,Email,AP,,Email address,Materialized from description_alias_match; context from QBO field description.
cost_center.id,QuickBooks,Vendor,Cc,AP,,CC email,Materialized from direct_alias_match; QBO table-field context only.
customer.credit_limit,QuickBooks,Vendor,CreditLimit,AP,,Credit limit with this vendor,Materialized from direct_alias_match; QBO table-field context only.
supplier.name,QuickBooks,Bill,VendorRef_FullName,AP,,Vendor name,Materialized from description_alias_match; context from QBO field description.
supplier.city,QuickBooks,Bill,VendorAddress_City,AP,,Vendor city,Materialized from description_alias_match; context from QBO field description.
supplier.postal_code,QuickBooks,Bill,VendorAddress_PostalCode,AP,,Vendor postal code,Materialized from description_alias_match; context from QBO field description.
invoice.due_date,QuickBooks,Bill,DueDate,AP,,Payment due date,Materialized from description_alias_match; context from QBO field description.
supplier_invoice.id,QuickBooks,Bill,RefNumber,AP,,Vendor invoice number,Materialized from description_alias_match; context from QBO field description.
exchange_rate.rate,QuickBooks,Bill,ExchangeRate,AP,,Exchange rate,Materialized from direct_alias_match; QBO table-field context only.
material.name,QuickBooks,BillItemLine,ItemRef_FullName,AP,,Item name,Materialized from description_alias_match; context from QBO field description.
