entry_type,canonical_term,canonical_concept_id,alias,domain,source_system,note
concept_alias,Cost Center,cost_center.id,CostCenter,Human Capital Management,Workday_HRDH,HRDH column: CostCenter
concept_alias,Job Profile ID,job.id,JobReqId,Human Capital Management,Workday_HRDH,HRDH column: JobReqId
concept_alias,Job Title,job.title,JobTitle,Human Capital Management,Workday_HRDH,HRDH column: JobTitle
concept_alias,Address Country,address.country,CountryName,Human Capital Management,Workday_HRDH,HRDH column: CountryName
concept_alias,Address City,address.city,CityName,Human Capital Management,Workday_HRDH,HRDH column: CityName
concept_alias,Employee ID,employee.id,ID_EMPLOYEE,Human Capital Management,Workday_HRDH,HRDH column: ID_EMPLOYEE
concept_alias,Position ID,position.id,ID_POSITION,Human Capital Management,Workday_HRDH,HRDH column: ID_POSITION
concept_alias,Company ID,company.id,ID_COMPANY,Human Capital Management,Workday_HRDH,HRDH column: ID_COMPANY
concept_alias,Compensation Grade,compensation.grade,ID_COMP_GRADE,Human Capital Management,Workday_HRDH,HRDH column: ID_COMP_GRADE
concept_alias,Compensation Grade,compensation.grade,ID_COMP_GRADE_PROFILE,Human Capital Management,Workday_HRDH,HRDH column: ID_COMP_GRADE_PROFILE
concept_alias,Compensation Grade,compensation.grade,ID_COMP_STEP,Human Capital Management,Workday_HRDH,HRDH column: ID_COMP_STEP
concept_alias,Compensation Plan,compensation.plan,ID_COMP_PLAN,Human Capital Management,Workday_HRDH,HRDH column: ID_COMP_PLAN
concept_alias,Employee ID,employee.id,EM_EMPLOYEE_NK,Human Capital Management,Workday_HRDH,HRDH column: EM_EMPLOYEE_NK
concept_alias,Employee ID,employee.id,EM_WORKDAY_ID,Human Capital Management,Workday_HRDH,HRDH column: EM_WORKDAY_ID
concept_alias,Employee Name,employee.name,EM_FIRST_NAME,Human Capital Management,Workday_HRDH,The worker's legal first or given name.
concept_alias,Employee Name,employee.name,EM_MIDDLE_NAME,Human Capital Management,Workday_HRDH,The worker's legal middle name.
concept_alias,Employee Name,employee.name,EM_LAST_NAME,Human Capital Management,Workday_HRDH,The worker's legal family name.
concept_alias,Address Line 1,address.line1,EM_FIRST_ADDRESS_LINE1,Human Capital Management,Workday_HRDH,The local address line 1 for an address.
concept_alias,Address Line 2,address.line2,EM_FIRST_ADDRESS_LINE2,Human Capital Management,Workday_HRDH,The local address line 2 for an address.
concept_alias,Address City,address.city,EM_FIRST_ADDRESS_CITY,Human Capital Management,Workday_HRDH,The city for an address.
concept_alias,State/Region,address.region,EM_FIRST_ADDRESS_STATE,Human Capital Management,Workday_HRDH,The State ISO code for an address.
concept_alias,Address Postal Code,address.postal_code,EM_FIRST_ADDRESS_POSTCODE,Human Capital Management,Workday_HRDH,The postal code for an address
concept_alias,Address Country,address.country,EM_FIRST_ADDRESS_COUNTRY,Human Capital Management,Workday_HRDH,The Country Region for an address.
concept_alias,Address Line 1,address.line1,EM_SECOND_ADDRESS_LINE1,Human Capital Management,Workday_HRDH,The local address line 1 for the second address.
concept_alias,Address Line 2,address.line2,EM_SECOND_ADDRESS_LINE2,Human Capital Management,Workday_HRDH,The local address line 2 for the second address.
concept_alias,Address City,address.city,EM_SECOND_ADDRESS_CITY,Human Capital Management,Workday_HRDH,The city for the second address.
concept_alias,State/Region,address.region,EM_SECOND_ADDRESS_STATE,Human Capital Management,Workday_HRDH,The State ISO code for the second address.
concept_alias,Address Postal Code,address.postal_code,EM_SECOND_ADDRESS_POSTCODE,Human Capital Management,Workday_HRDH,The postal code for the second address
concept_alias,Address Country,address.country,EM_SECOND_ADDRESS_COUNTRY,Human Capital Management,Workday_HRDH,The Country Region for the second address.
concept_alias,Employment Status,employee.employment_status,EM_REMOTE_WORKER,Human Capital Management,Workday_HRDH,"Shows if the worker is a remote worker, 1=Yes, 0=No"
concept_alias,employee.phone,employee.phone,EM_PHONE_WORK_COUNTRY_CODE,Human Capital Management,Workday_HRDH,Country code of the worker's work landline
concept_alias,employee.phone,employee.phone,EM_PHONE_WORK_AREA_CODE,Human Capital Management,Workday_HRDH,Area code of the worker's work landline
concept_alias,employee.phone,employee.phone,EM_PHONE_WORK_NUMBER,Human Capital Management,Workday_HRDH,Worker's work landline number
concept_alias,employee.phone,employee.phone,EM_MOBILE_WORK_COUNTRY_CODE,Human Capital Management,Workday_HRDH,Country code of the workers work mobile phone number
concept_alias,employee.phone,employee.phone,EM_MOBILE_WORK_AREA_CODE,Human Capital Management,Workday_HRDH,Area code of the workers work mobile phone number
concept_alias,employee.phone,employee.phone,EM_MOBILE_WORK_NUMBER,Human Capital Management,Workday_HRDH,Employees work mobile phone number
concept_alias,employee.phone,employee.phone,EM_MOBILE_PERSONAL_COUNTRY_CODE,Human Capital Management,Workday_HRDH,Country code of the workers personal mobile phone number
concept_alias,employee.phone,employee.phone,EM_MOBILE_PERSONAL_AREA_CODE,Human Capital Management,Workday_HRDH,Area code of the workers personal mobile phone number
concept_alias,employee.phone,employee.phone,EM_MOBILE_PERSONAL_NUMBER,Human Capital Management,Workday_HRDH,Employees personal mobile phone number
concept_alias,employee.phone,employee.phone,EM_PHONE_PERSONAL_COUNTRY_CODE,Human Capital Management,Workday_HRDH,Country code of the worker's personal landline
concept_alias,employee.phone,employee.phone,EM_PHONE_PERSONAL_AREA_CODE,Human Capital Management,Workday_HRDH,Area code of the worker's personal landline
concept_alias,employee.phone,employee.phone,EM_PHONE_PERSONAL_NUMBER,Human Capital Management,Workday_HRDH,Worker's personal landline number
concept_alias,Employee Email,employee.email,EM_EMAIL_PERSONAL1,Human Capital Management,Workday_HRDH,Worker's personal email number 1
