entry_type,canonical_term,canonical_concept_id,alias,domain,source_system,note
concept_alias,Job Position,employee.position,Integration_ID_Data,Locations,Workday,"The unique location ID. The organization, position and hire tabs will reference location ID."
concept_alias,Address Country,address.country,Default_Currency_Reference,Locations,Workday,The default currency for the location. This value is either derived from the currency of the location country (using the
concept_alias,Company ID,company.id,Organization_Reference_ID,Organizations & Roles,Workday,"Organization Reference ID. To ensure backward compatibility, the Organization Reference ID element will not be populated"
concept_alias,Manager ID,employee.manager_id,Include_Leader_In_Name,Organizations & Roles,Workday,Boolean attribute identifying whether to include the Manager/Leader Name within the name (Display ID in Workday). A new 
concept_alias,Job Position,employee.position,Position_Management_Enabled,Organizations & Roles,Workday,Element containing boolean attribute identifying whether Position Management is enabled.
concept_alias,Employee Department,employee.department,Primary_Business_Site_Reference,Organizations & Roles,Workday,Primary location (for supervisory organizations) is effective dated.
concept_alias,Address Country,address.country,Country_ISO_Code,Human Capital Management,Workday,"Country ISO code. If the Country ISO code is specified, then this ISO code will be used to determine the Country Phone C"
concept_alias,employee.phone,employee.phone,Phone_Number,Human Capital Management,Workday,Phone number.
concept_alias,Address Country,address.country,Country_Of_Birth_Reference,Human Capital Management,Workday,ISO Code identifying the country where the naming rules for this name are defined. Workday enables you to specify an ISO
concept_alias,Address City,address.city,Place_Of_Birth,Human Capital Management,Workday,City or Place of Birth.
concept_alias,Date of Birth,employee.birth_date,Date_Of_Birth,Human Capital Management,Workday,Date of Birth.
concept_alias,Address Country,address.country,Nationality_Reference,Human Capital Management,Workday,Reference for the person's Country of Nationality
concept_alias,Address Country,address.country,Hukou_Region_Reference,Human Capital Management,Workday,Country Region on the Hukou of the person. This field is only available for the country China and the person with citize
concept_alias,Address Country,address.country,Hukou_Subregion_Reference,Human Capital Management,Workday,Country Subregion on the Hukou of the person. This field is only available for the country China and the person with cit
concept_alias,Address Country,address.country,Hukou_Locality,Human Capital Management,Workday,Locality on the Hukou of the person. This field is only available for the country China and the person with citizenship 
concept_alias,Address Country,address.country,Hukou_Postal_Code,Human Capital Management,Workday,Hukou postal code for the person. This field is only available for the country China and the person with citizenship sta
concept_alias,Address Country,address.country,Hukou_Type_Reference,Human Capital Management,Workday,Hukou type on the Hukou of the person. This field is only available for the country China and the person with citizenshi
concept_alias,Address Country,address.country,Country_Reference,Human Capital Management,Workday,Reference element representing the country.
concept_alias,Address Country,address.country,Locale_Reference,Human Capital Management,Workday,The local defines the user's language and country which will affect their experience in the Workday system.
concept_alias,Employee ID,employee.id,Employee_ID,Human Capital Management,Workday,Text attribute identifying Employee ID.
concept_alias,Employee ID,employee.id,Contingent_Worker_ID,Human Capital Management,Workday,Text attribute identifying Contingent Worker ID.
concept_alias,Job Position,employee.position,Job_Previous_System_History_Text_1,Human Capital Management,Workday,Additional text field which can be added to the Job and Position History grid on the Maintain Worker History from Previo
concept_alias,Job Position,employee.position,Job_Previous_System_History_Text_2,Human Capital Management,Workday,Additional text field which can be added to the Job and Position History grid on the Maintain Worker History from Previo
concept_alias,Job Position,employee.position,Job_Previous_System_History_Text_3,Human Capital Management,Workday,Additional text field which can be added to the Job and Position History grid on the Maintain Worker History from Previo
concept_alias,Job Position,employee.position,Job_Previous_System_History_Text_4,Human Capital Management,Workday,Additional text field which can be added to the Job and Position History grid on the Maintain Worker History from Previo
concept_alias,Job Position,employee.position,Job_Previous_System_History_Text_5,Human Capital Management,Workday,Additional text field which can be added to the Job and Position History grid on the Maintain Worker History from Previo
concept_alias,Job Position,employee.position,Job_Previous_System_History_Text_6,Human Capital Management,Workday,Additional text field which can be added to the Job and Position History grid on the Maintain Worker History from Previo
concept_alias,Job Position,employee.position,Job_Previous_System_History_Text_7,Human Capital Management,Workday,Additional text field which can be added to the Job and Position History grid on the Maintain Worker History from Previo
concept_alias,Job Position,employee.position,Job_Previous_System_History_Text_8,Human Capital Management,Workday,Additional text field which can be added to the Job and Position History grid on the Maintain Worker History from Previo
concept_alias,Job Position,employee.position,Job_Previous_System_History_Text_9,Human Capital Management,Workday,Additional text field which can be added to the Job and Position History grid on the Maintain Worker History from Previo
concept_alias,Job Position,employee.position,Job_Previous_System_History_Text_10,Human Capital Management,Workday,Additional text field which can be added to the Job and Position History grid on the Maintain Worker History from Previo
concept_alias,Employee Name,employee.name,First_Name,Human Capital Management,Workday,Person first name.This field will only have a value if mapped to a name component for the country (identified by the ISO
concept_alias,Address Country,address.country,Middle_Name,Human Capital Management,Workday,Person middle name.This field will only have a value if mapped to a name component for the country (identified by the IS
concept_alias,Employee Name,employee.name,Last_Name,Human Capital Management,Workday,
concept_alias,Job Position,employee.position,Business_Title,Human Capital Management,Workday,The Business Title for the worker's primary position. This value cannot be updated in the Update Employee Personal Infor
concept_alias,Job Position,employee.position,Position_ID,Human Capital Management,Workday,Text attribute identifying Position ID.
concept_alias,Job Position,employee.position,Position_Title,Human Capital Management,Workday,Text attribute identifying Position Title.
concept_alias,Job Position,employee.position,Job_Exempt,Human Capital Management,Workday,Boolean attribute identifying whether Position is Exempt.
concept_alias,Job Position,employee.position,Scheduled_Weekly_Hours,Human Capital Management,Workday,Scheduled Weekly Hours for Position.
concept_alias,Job Position,employee.position,Default_Weekly_Hours,Human Capital Management,Workday,Standard Weekly Hours for Position.
concept_alias,Job Position,employee.position,Full_Time_Equivalent_Percentage,Human Capital Management,Workday,Full Time Equivalent Percentage for Position.
concept_alias,Job Position,employee.position,Specify_Paid_FTE,Human Capital Management,Workday,True if Paid FTE Percentage is specified on the position.
concept_alias,Job Position,employee.position,Paid_FTE,Human Capital Management,Workday,"The paid full time equivalent percentage for the position, entered as a decimal value. This overrides the calculated ful"
concept_alias,Job Position,employee.position,Specify_Working_FTE,Human Capital Management,Workday,True if Working FTE Percentage is specified on the position.
concept_alias,Job Position,employee.position,Working_FTE,Human Capital Management,Workday,"The working full time equivalent percentage for the position, entered as a decimal value. This overrides the calculated "
concept_alias,Manager ID,employee.manager_id,Supervisor_Reference,Human Capital Management,Workday,Contains the reference to the manager of the worker. This will contain only one manager - even if there are actually mul
concept_alias,Job Position,employee.position,Work_Shift_Reference,Human Capital Management,Workday,The work hour profile(s) for the position.
concept_alias,Job Position,employee.position,Work_Hours_Profile_Reference,Human Capital Management,Workday,The work hour profile(s) for the position.
concept_alias,Hire Date,employee.hire_date,Hire_Date,Human Capital Management,Workday,Most recent Hire Date for the Worker.
concept_alias,Hire Date,employee.hire_date,Original_Hire_Date,Human Capital Management,Workday,Earliest Hire Date for the Worker.
