system,module,object_name,object_description,field_name,field_description,normalized_field_name,data_type,length_or_format,sample_value,domain,source_artifact,source_type,source_scope,parser_name,last_verified_at,candidate_concept_id,promotion_status,notes
SAP,MM-PUR,purchasing_info_record,Benchmark-derived SAP purchasing info record staging seed,INFNR,SAP purchasing info record number,infnr,VARCHAR,20,5300000010,procurement,ui_fixtures/showcase_purchasing_info_record/showcase_pir_source.xml,benchmark_fixture,internal,,2026-05-19,purchasing_info_record.id,candidate,Seeded from benchmark fixture pending authoritative SAP source linkage
SAP,MM-PUR,purchasing_info_record,Benchmark-derived SAP purchasing info record staging seed,LIFNR,SAP supplier number linked to the info record,lifnr,VARCHAR,20,0000100001,procurement,ui_fixtures/showcase_purchasing_info_record/showcase_pir_source.xml,benchmark_fixture,internal,,2026-05-19,supplier.id,candidate,Seeded from benchmark fixture pending authoritative SAP source linkage
SAP,MM-PUR,purchasing_info_record,Benchmark-derived SAP purchasing info record staging seed,MATNR,SAP material number linked to the info record,matnr,VARCHAR,40,MAT-100001,procurement,ui_fixtures/showcase_purchasing_info_record/showcase_pir_source.xml,benchmark_fixture,internal,,2026-05-19,material.id,candidate,Seeded from benchmark fixture pending authoritative SAP source linkage
SAP,MM-PUR,purchasing_info_record,Benchmark-derived SAP purchasing info record staging seed,EKORG,Purchasing organization code,ekorg,VARCHAR,10,P100,procurement,ui_fixtures/showcase_purchasing_info_record/showcase_pir_source.xml,benchmark_fixture,internal,,2026-05-19,purchasing_organization.id,candidate,Seeded from benchmark fixture pending authoritative SAP source linkage
SAP,MM-PUR,purchasing_info_record,Benchmark-derived SAP purchasing info record staging seed,WERKS,Plant code,werks,VARCHAR,10,PL01,procurement,ui_fixtures/showcase_purchasing_info_record/showcase_pir_source.xml,benchmark_fixture,internal,,2026-05-19,plant.id,candidate,Seeded from benchmark fixture pending authoritative SAP source linkage
SAP,MM-PUR,purchasing_info_record,Benchmark-derived SAP purchasing info record staging seed,ESOKZ,Info record category code,esokz,VARCHAR,5,0,procurement,ui_fixtures/showcase_purchasing_info_record/showcase_pir_source.xml,benchmark_fixture,internal,,2026-05-19,info_record_category.code,knowledge_only,Seeded from benchmark fixture pending authoritative SAP source linkage
SAP,MM-PUR,purchasing_info_record,Benchmark-derived SAP purchasing info record staging seed,NETPR,Net price from the purchasing info record,netpr,"DECIMAL(14,2)",,125.50,procurement,ui_fixtures/showcase_purchasing_info_record/showcase_pir_source.xml,benchmark_fixture,internal,,2026-05-19,net_price_amount,candidate,Seeded from benchmark fixture pending authoritative SAP source linkage
SAP,MM-PUR,purchasing_info_record,Benchmark-derived SAP purchasing info record staging seed,WAERS,Currency code,waers,VARCHAR,5,EUR,finance,ui_fixtures/showcase_purchasing_info_record/showcase_pir_source.xml,benchmark_fixture,internal,,2026-05-19,currency.code,candidate,Seeded from benchmark fixture pending authoritative SAP source linkage
SAP,MM-PUR,purchasing_info_record,Benchmark-derived SAP purchasing info record staging seed,PEINH,Price unit quantity,peinh,"DECIMAL(14,2)",,1,procurement,ui_fixtures/showcase_purchasing_info_record/showcase_pir_source.xml,benchmark_fixture,internal,,2026-05-19,price_unit_quantity,candidate,Seeded from benchmark fixture pending authoritative SAP source linkage
SAP,MM-PUR,purchasing_info_record,Benchmark-derived SAP purchasing info record staging seed,MINBM,Minimum order quantity,minbm,"DECIMAL(14,2)",,10,procurement,ui_fixtures/showcase_purchasing_info_record/showcase_pir_source.xml,benchmark_fixture,internal,,2026-05-19,minimum_order_quantity,candidate,Seeded from benchmark fixture pending authoritative SAP source linkage
SAP,MM-PUR,purchasing_info_record,Benchmark-derived SAP purchasing info record staging seed,APLFZ,Planned delivery time in days,aplfz,INTEGER,,7,procurement,ui_fixtures/showcase_purchasing_info_record/showcase_pir_source.xml,benchmark_fixture,internal,,2026-05-19,planned_delivery_days,candidate,Seeded from benchmark fixture pending authoritative SAP source linkage
SAP,MM-PUR,purchasing_info_record,Benchmark-derived SAP purchasing info record staging seed,INCO1,Incoterms code,inco1,VARCHAR,10,FCA,procurement,ui_fixtures/showcase_purchasing_info_record/showcase_pir_source.xml,benchmark_fixture,internal,,2026-05-19,incoterm.code,candidate,Seeded from benchmark fixture pending authoritative SAP source linkage
SAP,MM-PUR,purchasing_info_record,Benchmark-derived SAP purchasing info record staging seed,INCO2,Incoterms location,inco2,VARCHAR,80,Berlin,procurement,ui_fixtures/showcase_purchasing_info_record/showcase_pir_source.xml,benchmark_fixture,internal,,2026-05-19,incoterm.location,candidate,Seeded from benchmark fixture pending authoritative SAP source linkage
SAP,MM-PUR,purchasing_info_record,Benchmark-derived SAP purchasing info record staging seed,BPRME,Order price unit or order unit code,bprme,VARCHAR,10,EA,procurement,ui_fixtures/showcase_purchasing_info_record/showcase_pir_source.xml,benchmark_fixture,internal,,2026-05-19,order_unit.code,candidate,Seeded from benchmark fixture pending authoritative SAP source linkage
