wd_entity,wd_field,wd_type,wd_description,classification_bucket,direct_field_canonical_concept_id,description_canonical_concept_id,top_canonical_concept_id,top_canonical_strength,top_knowledge_concept_id,top_knowledge_strength
Job_Family_DataType,Summary,string,Text attribute identifying Job Family Summary.,weak_canonical_candidate,,,job.function,0.600,short description,1.000
Job_Family_DataType,Job_Profile_Data,Job_Profile_for_Job_Family_DataType,Element containing the Job Profile reference for a Job Family.,weak_canonical_candidate,,,address.country,0.500,employee.manager_id,0.550
Job_Family_DataType,Integration_Field_Override_Data,Document_Field_Result_DataType,,weak_canonical_candidate,,,job.function,0.600,,
Job_Classification_ReferenceType,Job_Classification_Group_Name,string,Unique attribute name/description identifying a valid instance of Job Classification Group.,weak_canonical_candidate,,,job.category,0.600,,
Job_Classification_ReferenceType,Job_Classification_Name,string,"Along with Job Classification Group Name (which returns and instance of Job Classification Group), unique attribute name/description identifying a valid instance of Job Classification.",weak_canonical_candidate,,,job.category,0.600,,
Location_DataType,Time_Profile_Reference_Data,Time_Profile_Reference_DataType,The time profile associated with the location. This ties to the time profile description that has been set up.,weak_canonical_candidate,,,address.city,0.500,address.country,0.550
Location_DataType,Location_Type_Reference_Data,Location_Type_Reference_DataType,The location type associated with the location that ties to the usage that has been setup.,weak_canonical_candidate,,,activity id,0.500,address type,0.550
Location_DataType,Trade_Name,,The division or subsidiary name of the establishment.,weak_canonical_candidate,,,location.name,0.600,trade name,1.000
Location_DataType,Worksite_ID_Code,,A unique alpha/numeric identifier that identifies the business at this physical location.,weak_canonical_candidate,,,address.city,0.500,address.country,0.550
Location_DataType,Contact_Data,Contact_DataType,Contact Data,weak_canonical_candidate,,,contact.phone,0.600,employee.phone,0.550
Location_DataType,Container_Organization_Reference_Data,Container_Organization_Reference_DataType,Container Organization Reference Data,weak_canonical_candidate,,,address.city,0.500,address.country,0.550
Location_Type_Reference_DataType,Location_Type_Description,string,Unique attribute name/description identifying a valid instance of Location Type.,weak_canonical_candidate,,,activity id,0.500,address type,0.550
Organization_DataType,Availability_Date,date,Date the Organization is available for staffing events.,knowledge_only,,,,,time entry date,0.900
Organization_DataType,Include_Organization_Code_In_Name,boolean,Boolean attribute identifying whether to include the Organization Code within the name (Display ID within Workday). A new effective-dated organization name is automatically created if value for this field is different as of specified effective date.,weak_canonical_candidate,,,account.name,0.600,address valid to,0.550
Organization_DataType,Organization_Code,string,Text attribute identifying Organization Code. A new effective-dated organization name is automatically created if value for this field is different as of specified effective date.,weak_canonical_candidate,,,account.name,0.600,created date,0.550
Organization_DataType,Frozen_Status,boolean,Element containing boolean attribute identifying whether a Hiring Freeze is currently in affect.,unmapped,,,,,,
Organization_DataType,Job_Management_Enabled,boolean,Boolean element identifying whether Job Management is enabled.,weak_canonical_candidate,,,account.status,0.500,active flag,0.550
Organization_DataType,Superior_Organization_Reference,OrganizationObjectType,Superior Organization Reference,weak_canonical_candidate,,,company.id,0.600,company id,0.550
Organization_DataType,Organization_Type_Reference,Organization_Type_Reference_DataType,Organization Type Reference,weak_canonical_candidate,,,activity id,0.500,company id,0.550
Organization_DataType,Organization_Subtype_Reference,Organization_Subtype_Reference_DataType,Organization Subtype Reference,weak_canonical_candidate,,,company.id,0.600,company id,0.550
Organization_DataType,Organization_Visibility_Reference,Organization_Visibility_Reference_DataType,Organization Visibility Reference,weak_canonical_candidate,,,company.id,0.600,company id,0.550
Organization_DataType,Add_Container_Organization_Reference,OrganizationObjectType,Container Organization Reference,weak_canonical_candidate,,,company.id,0.600,company id,0.550
Organization_DataType,Remove_All_Containers,boolean,"Default is False. When True, the organization you’re updating is removed from all organizations it’s included in as of the effective date of the request. You must have Put access for the Manage: Organization Update Integration domain for all the containers that the organization is removed from.",weak_canonical_candidate,,,address.country,0.500,address valid from,0.550
Organization_DataType,Remove_Container_Organization_Reference,OrganizationObjectType,The container organizations that you’re removing the updated organization from. The organization you’re updating must be included as of the request effective date. You must have Put access for the Manage: Organization Update Integration domain for all the containers the organization is being removed from.,weak_canonical_candidate,,,address.country,0.500,address valid from,0.550
Organization_Type_Reference_DataType,Organization_Type_Name,string,Unique attribute name/description identifying a valid instance of Organization Type.,weak_canonical_candidate,,,account.name,0.600,company id,0.550
Authority_ReferenceType,Authority_Name,string,"Along with Organization (defines Regulatory Region), unique attribute name/description identifying a valid instance of Authority.",weak_canonical_candidate,,,account.name,0.600,organizational unit name,0.550
Authority_ReferenceType,Regulatory_Region_Organization_Reference,Organization_ReferenceType,,weak_canonical_candidate,,,address.city,0.500,address.country,0.550
Internet_Email_Address_DataType,Email_Comment,string,Comment,weak_canonical_candidate,,,contact.email,0.600,email,0.550
Internet_Email_Address_DataType,Usage_Data,Communication_Method_Usage_DataType,,weak_canonical_candidate,,,contact.email,0.600,email,0.550
Phone_Number_DataType,International_Phone_Code,string,International phone code number.,weak_canonical_candidate,,,contact.id,0.600,employee.phone,0.550
Phone_Number_DataType,Area_Code,string,Area code number.,weak_canonical_candidate,,,contact.id,0.600,employee.phone,0.550
Phone_Number_DataType,Phone_Extension,string,Phone extension.,weak_canonical_candidate,,,contact.id,0.600,employee.phone,0.550
Phone_Number_DataType,Phone_Device_Type_Reference,Phone_Device_Type_ReferenceType,,weak_canonical_candidate,,,activity id,0.500,contact id,0.550
Phone_Number_DataType,Usage_Data,Communication_Method_Usage_DataType,,weak_canonical_candidate,,,contact.id,0.600,employee.phone,0.550
Person_DataType,Name_Data,Name_DataType,Encapsulating element for all of the Name data for a person.,weak_canonical_candidate,,,contact.name,0.600,,
Person_DataType,Contact_Data,Contact_DataType,,weak_canonical_candidate,,,contact.phone,0.600,employee.phone,0.550
Person_DataType,Demographic_Data,Demographic_DataType,,unmapped,,,,,,
Person_DataType,Biographic_Data,Biographic_DataType,,unmapped,,,,,,
Person_DataType,Visa_ID_Data,Visa_Identifier_DataType,,weak_canonical_candidate,,,contact.id,0.600,person id,0.550
Person_DataType,Custom_ID_Data,Custom_Identifier_DataType,,weak_canonical_candidate,,,contact.id,0.600,person id,0.550
Person_DataType,Government_ID_Data,Government_Identifier_DataType,,weak_canonical_candidate,,,contact.id,0.600,person id,0.550
Person_DataType,License_ID_Data,License_Identifier_DataType,,weak_canonical_candidate,,,contact.id,0.600,person id,0.550
Person_DataType,Passport_ID_Data,Passport_Identifier_DataType,,weak_canonical_candidate,,,contact.id,0.600,employee.passport_id,0.550
Person_DataType,Personal_Preferences_Data,Personal_Preferences_DataType,,unmapped,,,,,,
Organization_ReferenceType,Integration_ID_Reference,External_Integration_ID_Reference_DataType,,weak_canonical_candidate,,,company.id,0.600,company id,0.550
Position_Time_Type_ReferenceType,Time_Type_Description,string,Unique attribute name/description identifying a valid instance of Position Time Type.,unmapped,,,,,,
Business_Site_Reference_DataType,Integration_ID_Reference,External_Integration_ID_Reference_DataType,Integration ID reference is used as a unique identifier for integratable objects in the Workday system.,weak_canonical_candidate,,,external_reference.id,0.600,external id,0.550
Instant_Messenger_DataType,Instant_Messenger_Address,string,Instant Messenger Address.,unmapped,,,,,,
Instant_Messenger_DataType,Instant_Messenger_Comment,string,Comment,unmapped,,,,,,
Instant_Messenger_DataType,Instant_Messenger_Type_Reference,Instant_Messenger_Type_ReferenceType,,weak_canonical_candidate,,,activity id,0.500,employee.national_id,0.550
