scope,scope_value,total_rows,classification_bucket,row_count,ratio
overall,ALL,922,description_alias_match,46,0.0499
overall,ALL,922,direct_alias_match,55,0.0597
overall,ALL,922,knowledge_only,44,0.0477
overall,ALL,922,strong_canonical_candidate,44,0.0477
overall,ALL,922,unmapped,492,0.5336
overall,ALL,922,weak_canonical_candidate,241,0.2614
module,AP,191,description_alias_match,20,0.1047
module,AP,191,direct_alias_match,10,0.0524
module,AP,191,knowledge_only,10,0.0524
module,AP,191,strong_canonical_candidate,11,0.0576
module,AP,191,unmapped,99,0.5183
module,AP,191,weak_canonical_candidate,41,0.2147
module,AR,315,description_alias_match,5,0.0159
module,AR,315,direct_alias_match,17,0.0540
module,AR,315,knowledge_only,16,0.0508
module,AR,315,strong_canonical_candidate,12,0.0381
module,AR,315,unmapped,164,0.5206
module,AR,315,weak_canonical_candidate,101,0.3206
module,GL,119,description_alias_match,4,0.0336
module,GL,119,direct_alias_match,7,0.0588
module,GL,119,knowledge_only,3,0.0252
module,GL,119,strong_canonical_candidate,4,0.0336
module,GL,119,unmapped,68,0.5714
module,GL,119,weak_canonical_candidate,33,0.2773
module,INV,120,description_alias_match,4,0.0333
module,INV,120,direct_alias_match,8,0.0667
module,INV,120,knowledge_only,4,0.0333
module,INV,120,strong_canonical_candidate,6,0.0500
module,INV,120,unmapped,69,0.5750
module,INV,120,weak_canonical_candidate,29,0.2417
module,PAY,125,description_alias_match,13,0.1040
module,PAY,125,direct_alias_match,7,0.0560
module,PAY,125,knowledge_only,11,0.0880
module,PAY,125,strong_canonical_candidate,5,0.0400
module,PAY,125,unmapped,59,0.4720
module,PAY,125,weak_canonical_candidate,30,0.2400
module,RPT,52,direct_alias_match,6,0.1154
module,RPT,52,strong_canonical_candidate,6,0.1154
module,RPT,52,unmapped,33,0.6346
module,RPT,52,weak_canonical_candidate,7,0.1346
