qb_module,qb_table,qb_field,qb_description,qb_field_type,qb_data_type,qb_max_length,direct_field_canonical_concept_id,description_canonical_concept_id,top_canonical_concept_id,top_canonical_strength,top_canonical_matches,top_knowledge_concept_id,top_knowledge_strength,top_knowledge_matches,classification_bucket,review_recommendation
AR,Customer,Name,Customer name as it appears in lists,VARCHAR,VARCHAR,41,,,attachment.file_name,0.80,attachment.file_name:0.80 | campaign.name:0.80 | case.subject:0.80,campaign name,1.00,campaign name:1.00 | display name:1.00 | file name:1.00,strong_canonical_candidate,Strong current canonical candidate; review for promotion or alias hardening if needed.
AR,Customer,CompanyName,Company / business name,VARCHAR,VARCHAR,41,,,account.name,0.80,account.name:0.80 | company.id:0.80 | company.name:0.60,company name,1.00,company name:1.00,strong_canonical_candidate,Strong current canonical candidate; review for promotion or alias hardening if needed.
AR,Customer,Suffix,"Name suffix (Jr., Sr., etc.)",VARCHAR,VARCHAR,10,,,,,,suffix,1.00,suffix:1.00,knowledge_only,"Knowledge support exists, but no current canonical concept is reachable."
AR,Customer,Phone,Primary phone number,VARCHAR,VARCHAR,21,,,customer.phone,1.00,customer.phone:1.00 | contact.id:0.60 | contact.phone:0.60,customer.phone,1.00,customer.phone:1.00 | phone address:1.00 | phone number:1.00,strong_canonical_candidate,Strong current canonical candidate; review for promotion or alias hardening if needed.
AR,Customer,Fax,Fax number,VARCHAR,VARCHAR,21,,,,,,fax number,1.00,fax number:1.00,knowledge_only,"Knowledge support exists, but no current canonical concept is reachable."
AR,Customer,Email,Primary email address,VARCHAR,VARCHAR,1023,,,supplier.commercial_contact_email,0.80,supplier.commercial_contact_email:0.80 | contact.email:0.60,contact.email,1.00,contact.email:1.00 | customer.email:1.00 | email:1.00,strong_canonical_candidate,Strong current canonical candidate; review for promotion or alias hardening if needed.
AR,Customer,SalesRepRef_FullName,Sales rep initials/name,VARCHAR,VARCHAR,5,,,,,,sales rep,0.55,sales rep:0.55,knowledge_only,"Knowledge support exists, but no current canonical concept is reachable."
AR,Customer,AccountNumber,Customer account number (user-defined),VARCHAR,VARCHAR,99,,,bank_account.account_number,0.80,bank_account.account_number:0.80 | account.id:0.60 | customer.id:0.60,account number,1.00,account number:1.00 | bank account employee:0.55 | customer number:0.55,strong_canonical_candidate,Strong current canonical candidate; review for promotion or alias hardening if needed.
AR,Customer,Notes,Free-text notes on customer,VARCHAR,VARCHAR,4095,,,,,,notes comments,1.00,notes comments:1.00,knowledge_only,"Knowledge support exists, but no current canonical concept is reachable."
AR,Invoice,TxnDate,Invoice date,DATE,DATE,n/a,,,,,,accounting.posting_date,1.00,accounting.posting_date:1.00 | inventory_transaction.date:1.00 | invoice.posting_date:1.00,knowledge_only,"Knowledge support exists, but no current canonical concept is reachable."
