action,priority,confidence,concept_id,proposed_entity,proposed_attribute,proposed_display_name,proposed_alias,source_system,source_file,source_table,source_field,source_datatype,evidence,review_note
new_concept_candidate,P0,high,,employee,phone,Employee Phone,Complete_Phone_Number; Employee_Phone_Number; Home_Phone; Involved_Party_Non-Worker_Phone_Number; Mobile_Phone; Phone_Number; Work_Phone; Video_Conference_Details,Workday,metadata_dict/wd_hr_knowledge_overlay.csv,Human Capital Management; Locations,,,Unknown overlay concept_id employee.phone appears in 8 Workday rows.,Likely missing employee contact concept. Review aliases as phone-specific; exclude video conference or non-worker party fields if they are not employee attributes.
map_existing_or_new_decision,P0,medium,invoice.document_currency_code,invoice,currency,Invoice Currency,Frequency_Reference; Amount; Annual_Income; Annualized_in_Reporting_Currency_Summary_Data; Currency_Code; Currency_Reference; Currency_Reference_Data; Individual_Target_Currency_Reference; Per_Unit_Amount; Primary_Compensation_Basis; Total_Salary_and_Allowances,Workday,metadata_dict/wd_hr_knowledge_overlay.csv,Benefits; Human Capital Management,,string,Unknown overlay concept_id invoice.currency appears in 11 Workday rows.,Do not import these aliases directly. First decide whether the overlay should map currency-code fields to invoice.document_currency_code/currency.code or whether some compensation amount rows are misclassified.
add_field_context,P1,high,approval.approved_date,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,EKKO,RELEASE_DATE,DATS,EKKO.RELEASE_DATE: Release Date of Contract; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,asset.id,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,MSEG,ANLN1,CHAR,MSEG.ANLN1: Main Asset Number; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,asset.serial_number,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,EBAN,SERNR,CHAR,EBAN.SERNR: BOM explosion number; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,audit.changed_by,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,MARA,AENAM,CHAR,MARA.AENAM: Name of Person Who Changed Object; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,audit.created_by,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,EBAN,ERNAM,CHAR,EBAN.ERNAM: Name of Person Responsible for Creating the Object; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,audit.created_by,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,EKKO,ERNAM,CHAR,EKKO.ERNAM: User of person who created a purchasing document; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,audit.created_by,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,MARA,ERNAM,CHAR,MARA.ERNAM: Name of Person Responsible for Creating the Object; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,audit.created_by,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,VBAK,ERNAM,CHAR,VBAK.ERNAM: Name of Person Responsible for Creating the Object; module=SD,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,audit.created_by,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,VBAP,ERNAM,CHAR,VBAP.ERNAM: Name of Person Responsible for Creating the Object; module=SD,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,base_uom.code,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,EKPO,LMEIN,UNIT,EKPO.LMEIN: Base Unit of Measure; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
